id	text	source_verse	skip_space_after	exclude
01001001001	In	01001001		
01001001002	the	01001001		
01001001003	beginning	01001001		
01001001004	,	01001001		
01001001005	God	01001001		
01001001006	created	01001001		
01001001007	the	01001001		
01001001008	heavens	01001001		
01001001009	and	01001001		
01001001010	the	01001001		
01001001011	earth	01001001		
01001002001	Now	01001002		
01001002002	the	01001002		
01001002003	earth	01001002		
01001002004	was	01001002		
01001002005	formless	01001002		
01001002006	and	01001002		
01001002007	empty	01001002		
01001002008	,	01001002		
01001002009	and	01001002		
01001002010	darkness	01001002		
01001002011	{	01001002		
01001002012	was	01001002		
01001002013	}	01001002		
01001002014	over	01001002		
01001002015	the	01001002		
01001002016	face	01001002		
01001002017	of	01001002		
01001002018	the	01001002		
01001002019	deep	01001002		
01001002020	.	01001002		
01001002021	And	01001002		
01001002022	the	01001002		
01001002023	Spirit	01001002		
01001002024	of	01001002		
01001002025	God	01001002		
01001002026	{	01001002		
01001002027	was	01001002		
01001002028	}	01001002		
01001003001	And	01001003		
01001003002	God	01001003		
01001003003	said	01001003		
01001003004	,	01001003		
01001003005	“	01001003		
01001003006	Let	01001003		
01001003007	there	01001003		
01001003008	be	01001003		
01001003009	light	01001003		
01001003010	!	01001003		
01001003011	”	01001003		
01001003012	And	01001003		
01001003013	there	01001003		
01001003014	was	01001003		
01001003015	light	01001003		
01001003016	.	01001003		
01001004001	And	01001004		
01001004002	God	01001004		
01001004003	saw	01001004		
01001004004	the	01001004		
01001004005	light	01001004		
01001004006	,	01001004		
01001004007	that	01001004		
01001004008	{	01001004		
01001004009	it	01001004		
01001004010	was	01001004		
01001004011	}	01001004		
01001004012	good	01001004		
01001004013	,	01001004		
01001004014	and	01001004		
01001004015	God	01001004		
01001004016	caused	01001004		
01001004017	{	01001004		
01001005001	And	01001005		
01001005002	God	01001005		
01001005003	called	01001005		
01001005004	the	01001005		
01001005005	light	01001005		
01001005006	Day	01001005		
01001005007	,	01001005		
01001005008	and	01001005		
01001005009	the	01001005		
01001005010	darkness	01001005		
01001005011	he	01001005		
01001005012	called	01001005		
01001005013	Night	01001005		
01001005014	.	01001005		
01001005015	And	01001005		
01001005016	there	01001005		
01001005017	was	01001005		
01001005018	evening	01001005		
01001005019	and	01001005		
01001005020	there	01001005		
01001005021	was	01001005		
01001005022	morning	01001005		
01001005023	,	01001005		
01001005024	{	01001005		
01001005025	the	01001005		
01001005026	}	01001005		
01001005027	first	01001005		
01001005028	day	01001005		
01001005029	.	01001005		
01001005030	day	01001005		
