id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end	required
40001001001	40001001	Buku					y
40001001002	40001001	ini					y
40001001003	40001001	menceritakan					y
40001001004	40001001	tentang					y
40001001005	40001001	Yesus					y
40001001006	40001001	Sang					y
40001001007	40001001	Mesias	y				y
40001001008	40001001	,		y			n
40001001009	40001001	Penyelamat					y
40001001010	40001001	yang					y
40001001011	40001001	dijanjikan					y
40001001012	40001001	Allah	y				y
40001001013	40001001	.		y			n
40001001014	40001001	Dia					y
40001001015	40001001	adalah					y
40001001016	40001001	keturunan					y
40001001017	40001001	Raja					y
40001001018	40001001	Daud					y
40001001019	40001001	dan					y
40001001020	40001001	keturunan					y
40001001021	40001001	Abraham	y				y
40001001022	40001001	.		y			n
40001001023	40001001	Nenek					y
40001001024	40001001	moyang-Nya					y
40001001025	40001001	adalah					y
40001001026	40001001	sebagai					y
40001001027	40001001	berikut	y				y
40001001028	40001001	:		y			n
40001002001	40001002	Abraham	y				y
40001002002	40001002	,		y			n
40001002003	40001002	Ishak	y				y
40001002004	40001002	,		y			n
40001002005	40001002	Yakub	y				y
40001002006	40001002	,		y			n
40001002007	40001002	Yehuda					y
40001002008	40001002	(	y	y			n
40001002009	40001002	dan					y
40001002010	40001002	saudara-saudaranya	y				y
40001002011	40001002	)	y	y			n
40001002012	40001002	.		y			n
40001003001	40001003	Peres					y
40001003002	40001003	(	y	y			n
40001003003	40001003	nama					y
40001003004	40001003	ibu					y
40001003005	40001003	Peres					y
40001003006	40001003	dan					y
40001003007	40001003	Zerah					y
40001003008	40001003	adalah					y
40001003009	40001003	Tamar	y				y
40001003010	40001003	)	y	y			n
40001003011	40001003	,		y			n
40001003012	40001003	Hezron	y				y
40001003013	40001003	,		y			n
40001003014	40001003	Ram	y				y
40001003015	40001003	.		y			n
40001004001	40001004	Aminadab	y				y
40001004002	40001004	,		y			n
40001004003	40001004	Nahason	y				y
40001004004	40001004	,		y			n
40001004005	40001004	Salmon	y				y
40001004006	40001004	.		y			n
40001005001	40001005	Boas					y
40001005002	40001005	(	y	y			n
40001005003	40001005	nama					y
40001005004	40001005	ibunya					y
40001005005	40001005	adalah					y
40001005006	40001005	Rahab	y				y
40001005007	40001005	)	y	y			n
40001005008	40001005	,		y			n
40001005009	40001005	Obed					y
40001005010	40001005	(	y	y			n
40001005011	40001005	nama					y
40001005012	40001005	ibunya					y
40001005013	40001005	adalah					y
40001005014	40001005	Rut	y				y
40001005015	40001005	)	y	y			n
40001005016	40001005	,		y			n
40001005017	40001005	Isai	y				y
40001005018	40001005	,		y			n
40001005019	40001005	dan					y
40001006001	40001006	Raja					y
40001006002	40001006	Daud	y				y
40001006003	40001006	.		y			n
40001006004	40001006	Salomo					y
40001006005	40001006	(	y	y			n
40001006006	40001006	anak					y
40001006007	40001006	Daud					y
40001006008	40001006	dari					y
40001006009	40001006	Batsyeba	y				y
40001006010	40001006	,		y			n
40001006011	40001006	istri					y
40001006012	40001006	Uria	y				y
40001006013	40001006	)	y	y			n
40001006014	40001006	,		y			n
40001007001	40001007	Rehabeam	y				y
40001007002	40001007	,		y			n
40001007003	40001007	Abia	y				y
40001007004	40001007	,		y			n
40001007005	40001007	Asa	y				y
40001007006	40001007	,		y			n
40001008001	40001008	Yosafat	y				y
40001008002	40001008	,		y			n
40001008003	40001008	Yoram	y				y
40001008004	40001008	,		y			n
40001008005	40001008	Uzia	y				y
40001008006	40001008	,		y			n
40001009001	40001009	Yotam	y				y
40001009002	40001009	,		y			n
40001009003	40001009	Ahas	y				y
40001009004	40001009	,		y			n
40001009005	40001009	Hizkia	y				y
40001009006	40001009	,		y			n
40001010001	40001010	Manasye	y				y
40001010002	40001010	,		y			n
40001010003	40001010	Amon	y				y
40001010004	40001010	,		y			n
40001010005	40001010	Yosia	y				y
40001010006	40001010	,		y			n
40001010007	40001010	dan					y
40001011001	40001011	Yekhonya					y
40001011002	40001011	(	y	y			n
40001011003	40001011	dia					y
40001011004	40001011	dan					y
40001011005	40001011	saudara-saudaranya					y
40001011006	40001011	lahir					y
40001011007	40001011	pada					y
40001011008	40001011	waktu					y
40001011009	40001011	pembuangan					y
40001011010	40001011	di					y
40001011011	40001011	Babel	y				y
40001011012	40001011	)	y	y			n
40001011013	40001011	.		y			n
40001012001	40001012	Setelah					y
40001012002	40001012	masa					y
40001012003	40001012	pengasingan					y
40001012004	40001012	ke					y
40001012005	40001012	Babel	y				y
40001012006	40001012	,		y			n
40001012007	40001012	Sealtiel					y
40001012008	40001012	lahir	y				y
40001012009	40001012	,		y			n
40001012010	40001012	lalu					y
40001012011	40001012	Zerubabel	y				y
40001012012	40001012	,		y			n
40001013001	40001013	Abihud	y				y
40001013002	40001013	,		y			n
40001013003	40001013	Elyakim	y				y
40001013004	40001013	,		y			n
40001013005	40001013	Azor	y				y
40001013006	40001013	,		y			n
40001014001	40001014	Zadok	y				y
40001014002	40001014	,		y			n
40001014003	40001014	Akhim	y				y
40001014004	40001014	,		y			n
40001014005	40001014	Eliud	y				y
40001014006	40001014	,		y			n
40001015001	40001015	Eleazar	y				y
40001015002	40001015	,		y			n
40001015003	40001015	Matan	y				y
40001015004	40001015	,		y			n
40001015005	40001015	Yakub	y				y
40001015006	40001015	,		y			n
40001015007	40001015	dan					y
40001016001	40001016	Yusuf					y
40001016002	40001016	(	y	y			n
40001016003	40001016	suami					y
40001016004	40001016	Maria	y				y
40001016005	40001016	,		y			n
40001016006	40001016	ibu					y
40001016007	40001016	Yesus					y
40001016008	40001016	yang					y
40001016009	40001016	disebut					y
40001016010	40001016	Sang					y
40001016011	40001016	Mesias	y				y
40001016012	40001016	)	y	y			n
40001016013	40001016	.		y			n
40001017001	40001017	Jadi	y				y
40001017002	40001017	,		y			n
40001017003	40001017	ada					y
40001017004	40001017	empat					y
40001017005	40001017	belas					y
40001017006	40001017	angkatan					y
40001017007	40001017	dari					y
40001017008	40001017	Abraham					y
40001017009	40001017	sampai					y
40001017010	40001017	Raja					y
40001017011	40001017	Daud	y				y
40001017012	40001017	,		y			n
40001017013	40001017	empat					y
40001017014	40001017	belas					y
40001017015	40001017	angkatan					y
40001017016	40001017	dari					y
40001017017	40001017	Daud					y
40001017018	40001017	sampai					y
40001017019	40001017	masa					y
40001017020	40001017	bangsa					y
40001017021	40001017	Israel					y
40001017022	40001017	dibuang					y
40001017023	40001017	ke					y
40001017024	40001017	Babel	y				y
