identifier	altId	text	transType	isPunc	isPrimary
400010010011	This-1	This		False	True
400010010021	is-1	is		False	True
400010010031	the-1	the		False	True
400010010041	record-1	record		False	True
400010010051	of-1	of		False	True
400010010061	the-1	the		False	True
400010010071	genealogy-1	genealogy		False	True
400010010081	of-2	of		False	True
400010010091	Jesus-1	Jesus		False	True
400010010101	Christ-1	Christ		False	True
400010010111	,-1	,		True	False
400010010121	the-2	the		False	True
400010010131	son-1	son		False	True
400010010141	of-3	of		False	True
400010010151	David-1	David		False	True
400010010161	,-2	,		True	False
400010010171	the-3	the		False	True
400010010181	son-2	son		False	True
400010010191	of-4	of		False	True
400010010201	Abraham-1	Abraham		False	True
400010010211	:-1	:		True	False
400010020011	Abraham-1	Abraham		False	True
400010020021	was-1	was		False	True
400010020031	the-1	the		False	True
400010020041	father-1	father		False	True
400010020051	of-1	of		False	True
400010020061	Isaac-1	Isaac		False	True
400010020071	,-1	,		True	False
400010020081	Isaac-2	Isaac		False	True
400010020091	the-2	the		False	True
400010020101	father-2	father		False	True
400010020111	of-2	of		False	True
400010020121	Jacob-1	Jacob		False	True
400010020131	,-2	,		True	False
400010020141	and-1	and		False	True
400010020151	Jacob-2	Jacob		False	True
400010020161	the-3	the		False	True
400010020171	father-3	father		False	True
400010020181	of-3	of		False	True
400010020191	Judah-1	Judah		False	True
400010020201	and-2	and		False	True
400010020211	his-1	his		False	True
400010020221	brothers-1	brothers		False	True
400010020231	.-1	.		True	False
400010030011	Judah-1	Judah		False	True
400010030021	was-1	was		False	True
400010030031	the-1	the		False	True
400010030041	father-1	father		False	True
400010030051	of-1	of		False	True
400010030061	Perez-1	Perez		False	True
400010030071	and-1	and		False	True
400010030081	Zerah-1	Zerah		False	True
400010030091	by-1	by		False	True
400010030101	Tamar-1	Tamar		False	True
400010030111	,-1	,		True	False
400010030121	Perez-2	Perez		False	True
400010030131	the-2	the		False	True
400010030141	father-2	father		False	True
400010030151	of-2	of		False	True
400010030161	Hezron-1	Hezron		False	True
400010030171	,-2	,		True	False
400010030181	and-2	and		False	True
400010030191	Hezron-2	Hezron		False	True
400010030201	the-3	the		False	True
400010030211	father-3	father		False	True
400010030221	of-3	of		False	True
400010030231	Ram-1	Ram		False	True
400010030241	.-1	.		True	False
400010040011	Ram-1	Ram		False	True
400010040021	was-1	was		False	True
