id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end	required
01001001001	01001001	ആദിയിൽ					y
01001001002	01001001	ദൈവം					y
01001001003	01001001	ആകാശവും					y
01001001004	01001001	ഭൂമിയും					y
01001001005	01001001	സൃഷ്ടിച്ചു	y				y
01001001006	01001001	.		y			n
01001002001	01001002	ഭൂമി					y
01001002002	01001002	രൂപരഹിതവും					y
01001002003	01001002	ശൂന്യവുമായിരുന്നു	y				y
01001002004	01001002	;		y			n
01001002005	01001002	വെള്ളം					y
01001002006	01001002	നിറഞ്ഞ					y
01001002007	01001002	ഭൂതലത്തിന്മേൽ					y
01001002008	01001002	അന്ധകാരം					y
01001002009	01001002	വ്യാപിച്ചിരുന്നു	y				y
01001002010	01001002	.		y			n
01001002011	01001002	ദൈവത്തിന്റെ					y
01001002012	01001002	ആത്മാവ്					y
01001002013	01001002	വെള്ളത്തിനുമീതേ					y
01001002014	01001002	വ്യാപരിച്ചുകൊണ്ടിരുന്നു	y				y
01001002015	01001002	.		y			n
01001003001	01001003	“	y	y			n
01001003002	01001003	പ്രകാശം					y
01001003003	01001003	ഉണ്ടാകട്ടെ	y				y
01001003004	01001003	,	y	y			n
01001003005	01001003	”		y			n
01001003006	01001003	ദൈവം					y
01001003007	01001003	അരുളിച്ചെയ്തു	y				y
01001003008	01001003	;		y			n
01001003009	01001003	പ്രകാശം					y
01001003010	01001003	ഉണ്ടായി	y				y
01001003011	01001003	.		y			n
01001004001	01001004	പ്രകാശം					y
01001004002	01001004	നല്ലത്					y
01001004003	01001004	എന്നു					y
01001004004	01001004	ദൈവം					y
01001004005	01001004	കണ്ടു	y				y
01001004006	01001004	;		y			n
01001004007	01001004	അവിടന്നു					y
01001004008	01001004	പ്രകാശവും					y
01001004009	01001004	അന്ധകാരവുംതമ്മിൽ					y
01001004010	01001004	വേർതിരിച്ചു	y				y
01001004011	01001004	;		y			n
01001005001	01001005	ദൈവം					y
01001005002	01001005	പ്രകാശത്തെ					y
01001005003	01001005	“	y	y			n
01001005004	01001005	പകൽ	y				y
01001005005	01001005	”		y			n
01001005006	01001005	എന്നും					y
01001005007	01001005	അന്ധകാരത്തെ					y
01001005008	01001005	“	y	y			n
01001005009	01001005	രാത്രി	y				y
01001005010	01001005	”		y			n
01001005011	01001005	എന്നും					y
01001005012	01001005	വിളിച്ചു	y				y
01001005013	01001005	.		y			n
01001005014	01001005	സന്ധ്യകഴിഞ്ഞു	y				y
01001005015	01001005	,		y			n
01001005016	01001005	ഉഷസ്സുമായി	y				y
01001005017	01001005	—	y	y			n
01001005018	01001005	ഒന്നാംദിവസം	y				y
01001005019	01001005	.		y			n
01001006001	01001006	“	y	y			n
01001006002	01001006	വെള്ളങ്ങളുടെ					y
01001006003	01001006	മധ്യേ					y
01001006004	01001006	ഒരു					y
01001006005	01001006	വിതാനം					y
01001006006	01001006	ഉണ്ടാകട്ടെ	y				y
01001006007	01001006	,	y	y			n
01001006008	01001006	”		y			n
01001006009	01001006	ദൈവം					y
01001006010	01001006	അരുളിച്ചെയ്തു	y				y
01001006011	01001006	;		y			n
01001006012	01001006	“	y	y			n
01001006013	01001006	വെള്ളവും					y
01001006014	01001006	വെള്ളവുംതമ്മിൽ					y
01001006015	01001006	വേർപിരിയട്ടെ	y				y
01001006016	01001006	”		y			n
01001006017	01001006	എന്നും					y
01001006018	01001006	കൽപ്പിച്ചു	y				y
01001006019	01001006	.		y			n
01001007001	01001007	അങ്ങനെ					y
01001007002	01001007	ദൈവം					y
01001007003	01001007	ഒരു					y
01001007004	01001007	വിതാനം					y
01001007005	01001007	ഉണ്ടാക്കി	y				y
01001007006	01001007	,		y			n
01001007007	01001007	വിതാനത്തിനു					y
01001007008	01001007	താഴെയുള്ള					y
01001007009	01001007	വെള്ളവും					y
01001007010	01001007	മുകളിലുള്ള					y
01001007011	01001007	വെള്ളവുംതമ്മിൽ					y
01001007012	01001007	വേർതിരിയട്ടെ					y
01001007013	01001007	എന്നു					y
01001007014	01001007	കൽപ്പിച്ചു	y				y
01001007015	01001007	;		y			n
01001007016	01001007	അത്					y
01001007017	01001007	അങ്ങനെതന്നെ					y
01001007018	01001007	സംഭവിച്ചു	y				y
01001007019	01001007	.		y			n
