id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end
41001001001	41001001	यीशु				
41001001002	41001001	मसीह				
41001001003	41001001	जो				
41001001004	41001001	परमेश्वर				
41001001005	41001001	का				
41001001006	41001001	पुत्र				
41001001007	41001001	है	y			
41001001008	41001001	,		y		
41001001009	41001001	यह				
41001001010	41001001	उसके				
41001001011	41001001	विषय				
41001001012	41001001	में				
41001001013	41001001	शुभ				
41001001014	41001001	संदेश				
41001001015	41001001	का				
41001001016	41001001	आरम्भ				
41001001017	41001001	है	y			
41001001018	41001001	।		y		
41001002001	41001002	इस				
41001002002	41001002	शुभ				
41001002003	41001002	संदेश				
41001002004	41001002	का				
41001002005	41001002	आरम्भ				
41001002006	41001002	वैसे				
41001002007	41001002	ही				
41001002008	41001002	होता				
41001002009	41001002	है				
41001002010	41001002	जैसा				
41001002011	41001002	होने				
41001002012	41001002	के				
41001002013	41001002	विषय				
41001002014	41001002	में				
41001002015	41001002	यशायाह				
41001002016	41001002	भविष्यद्वक्ता				
41001002017	41001002	ने				
41001002018	41001002	तब				
41001002019	41001002	कहा				
41001002020	41001002	था				
41001002021	41001002	जब				
41001002022	41001002	उसने				
41001002023	41001002	बहुत				
41001002024	41001002	समय				
41001002025	41001002	पहले				
41001002026	41001002	लिखा				
41001002027	41001002	था	y			
41001002028	41001002	,		y		
41001002029	41001002	“	y	y		
41001002030	41001002	देख	y			
41001002031	41001002	,		y		
41001002032	41001002	मैं				
41001002033	41001002	अपने				
41001002034	41001002	दूत				
41001002035	41001002	को				
41001002036	41001002	तेरे				
41001002037	41001002	आगे-आगे				
41001002038	41001002	भेज				
41001002039	41001002	रहा				
41001002040	41001002	हूँ	y			
41001002041	41001002	।		y		
41001002042	41001002	वह				
41001002043	41001002	तेरे				
41001002044	41001002	आगमन				
41001002045	41001002	के				
41001002046	41001002	समय				
41001002047	41001002	के				
41001002048	41001002	लिए				
41001002049	41001002	लोगों				
41001002050	41001002	को				
41001002051	41001002	तैयार				
41001002052	41001002	करेगा	y			
41001002053	41001002	।		y		
41001003001	41001003	वह				
41001003002	41001003	उसे				
41001003003	41001003	सुनने				
41001003004	41001003	वाले				
41001003005	41001003	लोगों				
41001003006	41001003	के				
41001003007	41001003	लिए				
41001003008	41001003	उजाड़				
41001003009	41001003	स्थान				
41001003010	41001003	में				
41001003011	41001003	पुकारने				
41001003012	41001003	वाले				
41001003013	41001003	की				
41001003014	41001003	वाणी				
41001003015	41001003	होगा	y			
41001003016	41001003	,		y		
41001003017	41001003	जो				
41001003018	41001003	कहेगा	y			
41001003019	41001003	,		y		
41001003020	41001003	‘	y	y		
41001003021	41001003	प्रभु				
41001003022	41001003	का				
41001003023	41001003	स्वागत				
41001003024	41001003	करने				
41001003025	41001003	के				
41001003026	41001003	लिए				
41001003027	41001003	स्वयं				
41001003028	41001003	को				
41001003029	41001003	तैयार				
41001003030	41001003	करो	y			
41001003031	41001003	।		y		
41001003032	41001003	उसके				
41001003033	41001003	आगमन				
41001003034	41001003	के				
41001003035	41001003	लिए				
41001003036	41001003	प्रत्येक				
41001003037	41001003	वस्तु				
41001003038	41001003	को				
41001003039	41001003	व्यवस्थित				
41001003040	41001003	करो	y			
41001003041	41001003	।	y	y		
41001003042	41001003	’	y	y		
41001003043	41001003	”		y		
41001004001	41001004	जिस				
41001004002	41001004	दूत				
41001004003	41001004	के				
41001004004	41001004	विषय				
41001004005	41001004	में				
41001004006	41001004	यशायाह				
41001004007	41001004	ने				
41001004008	41001004	लिखा				
41001004009	41001004	था				
41001004010	41001004	वह				
41001004011	41001004	यूहन्ना				
41001004012	41001004	ही				
41001004013	41001004	था	y			
41001004014	41001004	।		y		
41001004015	41001004	लोग				
41001004016	41001004	उसे				
41001004017	41001004	“	y	y		
41001004018	41001004	बपतिस्मा				
41001004019	41001004	देने				
41001004020	41001004	वाला	y			
41001004021	41001004	”		y		
41001004022	41001004	कहते				
41001004023	41001004	थे	y			
41001004024	41001004	।		y		
41001004025	41001004	यूहन्ना				
41001004026	41001004	यरदन				
41001004027	41001004	नदी				
41001004028	41001004	के				
41001004029	41001004	निकट				
41001004030	41001004	एक				
41001004031	41001004	उजाड़				
41001004032	41001004	क्षेत्र				
41001004033	41001004	में				
41001004034	41001004	रहता				
41001004035	41001004	था	y			
41001004036	41001004	।		y		
41001004037	41001004	वह				
41001004038	41001004	लोगों				
41001004039	41001004	को				
41001004040	41001004	बपतिस्मा				
41001004041	41001004	देकर				
41001004042	41001004	उन				
41001004043	41001004	पर				
41001004044	41001004	यह				
41001004045	41001004	घोषणा				
41001004046	41001004	कर				
41001004047	41001004	रहा				
41001004048	41001004	था				
41001004049	41001004	कि				
41001004050	41001004	यदि				
41001004051	41001004	वे				
41001004052	41001004	पश्चाताप				
41001004053	41001004	करते				
41001004054	41001004	हैं	y			
41001004055	41001004	,		y		
41001004056	41001004	तो				
41001004057	41001004	वह				
41001004058	41001004	उन्हें				
41001004059	41001004	बपतिस्मा				
41001004060	41001004	देगा	y			
41001004061	41001004	,		y		
41001004062	41001004	और				
41001004063	41001004	परमेश्वर				
41001004064	41001004	उनके				
41001004065	41001004	पापों				
41001004066	41001004	को				
41001004067	41001004	क्षमा				
41001004068	41001004	कर				
41001004069	41001004	देगा	y			
41001004070	41001004	।		y		
41001005001	41001005	बड़ी				
41001005002	41001005	संख्या				
41001005003	41001005	में				
41001005004	41001005	यहूदिया				
41001005005	41001005	प्रदेश				
41001005006	41001005	और				
41001005007	41001005	यरूशलेम				
41001005008	41001005	नगर				
41001005009	41001005	के				
41001005010	41001005	लोग				
41001005011	41001005	यूहन्ना				
41001005012	41001005	की				
41001005013	41001005	बातें				
41001005014	41001005	सुनने				
41001005015	41001005	के				
41001005016	41001005	लिए				
41001005017	41001005	जंगल				
41001005018	41001005	में				
41001005019	41001005	चले				
41001005020	41001005	गए	y			
41001005021	41001005	।		y		
41001005022	41001005	उसे				
41001005023	41001005	सुनने				
41001005024	41001005	वाले				
41001005025	41001005	लोगों				
41001005026	41001005	में				
41001005027	41001005	से				
41001005028	41001005	बहुत				
41001005029	41001005	से				
41001005030	41001005	इस				
41001005031	41001005	बात				
41001005032	41001005	से				
41001005033	41001005	सहमत				
41001005034	41001005	थे				
41001005035	41001005	कि				
41001005036	41001005	उन्होंने				
41001005037	41001005	पाप				
41001005038	41001005	किया				
41001005039	41001005	है	y			
41001005040	41001005	।		y		
41001005041	41001005	तब				
41001005042	41001005	यूहन्ना				
41001005043	41001005	ने				
41001005044	41001005	उन्हें				
41001005045	41001005	यरदन				
41001005046	41001005	नदी				
41001005047	41001005	में				
41001005048	41001005	बपतिस्मा				
41001005049	41001005	दिया	y			
41001005050	41001005	।		y		
41001006001	41001006	यूहन्ना				
41001006002	41001006	ऊँट				
41001006003	41001006	के				
41001006004	41001006	बालों				
41001006005	41001006	से				
41001006006	41001006	बने				
41001006007	41001006	वस्त्र				
41001006008	41001006	पहनता				
41001006009	41001006	था				
41001006010	41001006	और				
41001006011	41001006	कमर				
41001006012	41001006	में				
41001006013	41001006	चमड़े				
41001006014	41001006	का				
41001006015	41001006	पटुका				
41001006016	41001006	बांधता				
41001006017	41001006	था	y			
41001006018	41001006	।		y		
41001006019	41001006	जो				
41001006020	41001006	टिड्डे				
41001006021	41001006	और				
41001006022	41001006	शहद				
41001006023	41001006	उस				
41001006024	41001006	उजाड़				
41001006025	41001006	क्षेत्र				
41001006026	41001006	में				
41001006027	41001006	उसे				
41001006028	41001006	मिले				
41001006029	41001006	उसने				
41001006030	41001006	वही				
41001006031	41001006	खाए	y			
41001006032	41001006	।		y		
41001007001	41001007	वह				
41001007002	41001007	प्रचार				
41001007003	41001007	करता				
41001007004	41001007	था	y			
41001007005	41001007	,		y		
41001007006	41001007	“	y	y		
41001007007	41001007	अति				
41001007008	41001007	शीघ्र				
41001007009	41001007	ही				
41001007010	41001007	वह				
41001007011	41001007	आएगा				
41001007012	41001007	जो				
41001007013	41001007	बड़ा				
41001007014	41001007	महान				
41001007015	41001007	है	y			
41001007016	41001007	।		y		
41001007017	41001007	उसकी				
41001007018	41001007	तुलना				
41001007019	41001007	में				
41001007020	41001007	मैं				
41001007021	41001007	कुछ				
41001007022	41001007	भी				
41001007023	41001007	नहीं				
41001007024	41001007	हूँ	y			
41001007025	41001007	।		y		
41001007026	41001007	मैं				
41001007027	41001007	तो				
41001007028	41001007	इस				
41001007029	41001007	योग्य				
41001007030	41001007	भी				
