id	altId	text	transType	isPunc	isPrimary	skipSpaceAfter
40001001001	अब्राहम-1	अब्राहम	k	False	True	
40001001002	की-1	की	m	False	False	
40001001003	संतान-1	संतान	k	False	True	True
40001001004	,-1	,		True	False	
40001001005	दाऊद-1	दाऊद	k	False	True	
40001001006	की-2	की	m	False	False	
40001001007	संतान-2	संतान	k	False	True	True
40001001008	,-2	,		True	False	
40001001009	यीशु-1	यीशु	k	False	True	
40001001010	मसीह-1	मसीह	k	False	True	
40001001011	की-2	की	m	False	False	
40001001012	वंशावली-1	वंशावली	k	False	True	
40001001013	की-2	की	m	False	False	
40001001014	पुस्तक-1	पुस्तक	k	False	True	True
40001001015	।-1	।		False	False	
40001002001	अब्राहम-1	अब्राहम	k	False	True	
40001002002	से-1	से	a	False	False	
40001002003	इसहाक-1	इसहाक	k	False	True	
40001002004	उत्पन्‍न‍-1	उत्पन्‍न‍	k	False	True	
40001002005	हुआ-1	हुआ	k	False	False	True
40001002006	,-1	,		True	False	
40001002007	इसहाक-2	इसहाक	k	False	True	
40001002008	से-2	से	a	False	False	
40001002009	याकूब-1	याकूब	k	False	True	
40001002010	उत्पन्‍न‍-2	उत्पन्‍न‍	k	False	True	
40001002011	हुआ-2	हुआ	k	False	False	True
40001002012	,-2	,		True	False	
40001002013	और-1	और	k	False	True	
40001002014	याकूब-2	याकूब	k	False	True	
40001002015	से-2	से	a	False	False	
40001002016	यहूदा-1	यहूदा	k	False	True	
40001002017	और-2	और	k	False	True	
40001002018	उसके-1	उसके	k	False	True	
40001002019	भाई-1	भाई	k	False	True	
40001002020	उत्पन्‍न‍-2	उत्पन्‍न‍	k	False	True	
40001002021	हुए-1	हुए	k	False	False	True
40001002022	,-2	,		True	False	
40001003001	और-1	और	k	False	True	
40001003002	यहूदा-1	यहूदा	k	False	True	
40001003003	से-1	से	m	False	False	
40001003004	तामार-1	तामार	k	False	True	
40001003005	के-1	के	m	False	False	
40001003006	द्वारा-1	द्वारा	k	False	True	
40001003007	फिरिस-1	फिरिस	k	False	True	
40001003008	और-2	और	k	False	True	
40001003009	जोरह-1	जोरह	k	False	True	
40001003010	उत्पन्‍न‍-1	उत्पन्‍न‍	k	False	True	
40001003011	हुए-1	हुए	k	False	False	True
40001003012	,-1	,		True	False	
40001003013	और-2	और	k	False	True	
40001003014	फिरिस-2	फिरिस	k	False	True	
40001003015	से-2	से	a	False	False	
40001003016	हिस्रोन-1	हिस्रोन	k	False	True	
40001003017	उत्पन्‍न‍-2	उत्पन्‍न‍	k	False	True	
40001003018	हुआ-1	हुआ	k	False	False	True
40001003019	,-2	,		True	False	
40001003020	और-2	और	k	False	True	
40001003021	हिस्रोन-2	हिस्रोन	k	False	True	
40001003022	से-2	से	a	False	False	
40001003023	एराम-1	एराम	k	False	True	
40001003024	उत्पन्‍न‍-2	उत्पन्‍न‍	k	False	True	
40001003025	हुआ-2	हुआ	k	False	False	True
40001003026	,-2	,		True	False	
40001004001	और-1	और	k	False	True	
40001004002	एराम-1	एराम	k	False	True	
