id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end
40001001001	40001001	Livro				
40001001002	40001001	da				
40001001003	40001001	geração				
40001001004	40001001	de				
40001001005	40001001	Jesus				
40001001006	40001001	Christo	y			
40001001007	40001001	,		y		
40001001008	40001001	filho				
40001001009	40001001	de				
40001001010	40001001	David	y			
40001001011	40001001	,		y		
40001001012	40001001	filho				
40001001013	40001001	d’Abrahão	y			
40001001014	40001001	.		y		
40001002001	40001002	Abrahão				
40001002002	40001002	gerou				
40001002003	40001002	a				
40001002004	40001002	Isaac	y			
40001002005	40001002	;		y		
40001002006	40001002	e				
40001002007	40001002	Isaac				
40001002008	40001002	gerou				
40001002009	40001002	a				
40001002010	40001002	Jacob	y			
40001002011	40001002	;		y		
40001002012	40001002	e				
40001002013	40001002	Jacob				
40001002014	40001002	gerou				
40001002015	40001002	a				
40001002016	40001002	Judas				
40001002017	40001002	e				
40001002018	40001002	a				
40001002019	40001002	seus				
40001002020	40001002	irmãos	y			
40001002021	40001002	;		y		
40001003001	40001003	E				
40001003002	40001003	Judas				
40001003003	40001003	gerou				
40001003004	40001003	de				
40001003005	40001003	Tamar				
40001003006	40001003	a				
40001003007	40001003	Fares				
40001003008	40001003	e				
40001003009	40001003	a				
40001003010	40001003	Zara	y			
40001003011	40001003	;		y		
40001003012	40001003	e				
40001003013	40001003	Fares				
40001003014	40001003	gerou				
40001003015	40001003	a				
40001003016	40001003	Esrom	y			
40001003017	40001003	;		y		
40001003018	40001003	e				
40001003019	40001003	Esrom				
40001003020	40001003	gerou				
40001003021	40001003	a				
40001003022	40001003	Arão	y			
40001003023	40001003	;		y		
40001004001	40001004	E				
40001004002	40001004	Arão				
40001004003	40001004	gerou				
40001004004	40001004	a				
40001004005	40001004	Aminadab	y			
40001004006	40001004	;		y		
40001004007	40001004	e				
40001004008	40001004	Aminadab				
40001004009	40001004	gerou				
40001004010	40001004	a				
40001004011	40001004	Naason	y			
40001004012	40001004	;		y		
40001004013	40001004	e				
40001004014	40001004	Naason				
40001004015	40001004	gerou				
40001004016	40001004	a				
40001004017	40001004	Salmon	y			
40001004018	40001004	;		y		
40001005001	40001005	E				
40001005002	40001005	Salmon				
40001005003	40001005	gerou				
40001005004	40001005	de				
40001005005	40001005	Rachab				
40001005006	40001005	a				
40001005007	40001005	Booz	y			
40001005008	40001005	,		y		
40001005009	40001005	e				
40001005010	40001005	Booz				
40001005011	40001005	gerou				
40001005012	40001005	de				
40001005013	40001005	Ruth				
40001005014	40001005	a				
40001005015	40001005	Obed	y			
40001005016	40001005	;		y		
40001005017	40001005	e				
40001005018	40001005	Obed				
40001005019	40001005	gerou				
40001005020	40001005	a				
40001005021	40001005	Jessé	y			
40001005022	40001005	;		y		
40001006001	40001006	E				
40001006002	40001006	Jessé				
40001006003	40001006	gerou				
40001006004	40001006	ao				
40001006005	40001006	rei				
40001006006	40001006	David	y			
40001006007	40001006	;		y		
40001006008	40001006	e				
40001006009	40001006	o				
40001006010	40001006	rei				
40001006011	40001006	David				
40001006012	40001006	gerou				
40001006013	40001006	a				
40001006014	40001006	Salomão	y			
40001006015	40001006	,		y		
40001006016	40001006	da				
40001006017	40001006	que				
40001006018	40001006	foi				
40001006019	40001006	mulher				
40001006020	40001006	de				
40001006021	40001006	Urias	y			
