id	text	source_verse	skip_space_after	exclude
40001001001	The	40001001		
40001001002	book	40001001		
40001001003	of	40001001		
40001001004	the	40001001		
40001001005	genealogy	40001001		
40001001006	of	40001001		
40001001007	Jesus	40001001		
40001001008	Christ	40001001		
40001001009	,	40001001		
40001001010	the	40001001		
40001001011	son	40001001		
40001001012	of	40001001		
40001001013	David	40001001		
40001001014	,	40001001		
40001001015	the	40001001		
40001001016	son	40001001		
40001001017	of	40001001		
40001001018	Abraham	40001001		
40001002001	Abraham	40001002		
40001002002	became	40001002		
40001002003	the	40001002		
40001002004	father	40001002		
40001002005	of	40001002		
40001002006	Isaac	40001002		
40001002007	,	40001002		
40001002008	and	40001002		
40001002009	Isaac	40001002		
40001002010	became	40001002		
40001002011	the	40001002		
40001002012	father	40001002		
40001002013	of	40001002		
40001002014	Jacob	40001002		
40001002015	,	40001002		
40001002016	and	40001002		
40001002017	Jacob	40001002		
40001002018	became	40001002		
40001002019	the	40001002		
40001002020	father	40001002		
40001002021	of	40001002		
40001002022	Judah	40001002		
40001003001	and	40001003		
40001003002	Judah	40001003		
40001003003	became	40001003		
40001003004	the	40001003		
40001003005	father	40001003		
40001003006	of	40001003		
40001003007	Perez	40001003		
40001003008	and	40001003		
40001003009	Zerah	40001003		
40001003010	by	40001003		
40001003011	Tamar	40001003		
40001003012	,	40001003		
40001003013	and	40001003		
40001003014	Perez	40001003		
40001003015	became	40001003		
40001003016	the	40001003		
40001003017	father	40001003		
40001003018	of	40001003		
40001003019	Hezron	40001003		
40001003020	,	40001003		
40001003021	and	40001003		
40001003022	Hezron	40001003		
40001003023	became	40001003		
40001003024	the	40001003		
40001003025	father	40001003		
40001004001	and	40001004		
40001004002	Aram	40001004		
40001004003	became	40001004		
40001004004	the	40001004		
40001004005	father	40001004		
40001004006	of	40001004		
40001004007	Amminadab	40001004		
40001004008	,	40001004		
40001004009	and	40001004		
40001004010	Amminadab	40001004		
40001004011	became	40001004		
40001004012	the	40001004		
40001004013	father	40001004		
40001004014	of	40001004		
40001004015	Nahshon	40001004		
40001004016	,	40001004		
40001004017	and	40001004		
40001004018	Nahshon	40001004		
40001005001	and	40001005		
40001005002	Salmon	40001005		
40001005003	became	40001005		
40001005004	the	40001005		
40001005005	father	40001005		
40001005006	of	40001005		
40001005007	Boaz	40001005		
40001005008	by	40001005		
40001005009	Rahab	40001005		
40001005010	,	40001005		
40001005011	and	40001005		
40001005012	Boaz	40001005		
40001005013	became	40001005		
40001005014	the	40001005		
40001005015	father	40001005		
40001005016	of	40001005		
40001005017	Obed	40001005		
40001005018	by	40001005		
40001005019	Ruth	40001005		
40001005020	,	40001005		
40001005021	and	40001005		
40001005022	Obed	40001005		
40001005023	became	40001005		
40001005024	the	40001005		
40001005025	father	40001005		
40001005026	of	40001005		
40001005027	Jesse	40001005		
40001005028	,	40001005		
40001006001	and	40001006		
40001006002	Jesse	40001006		
40001006003	became	40001006		
40001006004	the	40001006		
40001006005	father	40001006		
40001006006	of	40001006		
40001006007	David	40001006		
40001006008	the	40001006		
40001006009	king	40001006		
40001006010	.	40001006		
40001006011	And	40001006		
40001006012	David	40001006		
40001006013	became	40001006		
40001006014	the	40001006		
40001006015	father	40001006		
40001006016	of	40001006		
40001006017	Solomon	40001006		
40001006018	by	40001006		
40001006019	the	40001006		
40001006020	{	40001006		
40001006021	wife	40001006		
40001006022	}	40001006		
40001007001	and	40001007		
40001007002	Solomon	40001007		
40001007003	became	40001007		
40001007004	the	40001007		
40001007005	father	40001007		
40001007006	of	40001007		
40001007007	Rehoboam	40001007		
40001007008	,	40001007		
40001007009	and	40001007		
40001007010	Rehoboam	40001007		
40001007011	became	40001007		
40001007012	the	40001007		
40001007013	father	40001007		
40001007014	of	40001007		
40001007015	Abijah	40001007		
40001007016	,	40001007		
40001007017	and	40001007		
40001007018	Abijah	40001007		
40001008001	and	40001008		
40001008002	Asa	40001008		
40001008003	became	40001008		
40001008004	the	40001008		
40001008005	father	40001008		
40001008006	of	40001008		
40001008007	Jehoshaphat	40001008		
40001008008	,	40001008		
40001008009	and	40001008		
40001008010	Jehoshaphat	40001008		
40001008011	became	40001008		
40001008012	the	40001008		
40001008013	father	40001008		
40001008014	of	40001008		
40001008015	Joram	40001008		
40001008016	,	40001008		
40001008017	and	40001008		
40001008018	Joram	40001008		
40001009001	and	40001009		
40001009002	Uzziah	40001009		
40001009003	became	40001009		
40001009004	the	40001009		
40001009005	father	40001009		
40001009006	of	40001009		
40001009007	Jotham	40001009		
40001009008	,	40001009		
40001009009	and	40001009		
40001009010	Jotham	40001009		
40001009011	became	40001009		
40001009012	the	40001009		
40001009013	father	40001009		
40001009014	of	40001009		
40001009015	Ahaz	40001009		
40001009016	,	40001009		
40001009017	and	40001009		
40001009018	Ahaz	40001009		
40001010001	and	40001010		
40001010002	Hezekiah	40001010		
40001010003	became	40001010		
40001010004	the	40001010		
40001010005	father	40001010		
40001010006	of	40001010		
40001010007	Manasseh	40001010		
40001010008	,	40001010		
40001010009	and	40001010		
40001010010	Manasseh	40001010		
40001010011	became	40001010		
40001010012	the	40001010		
40001010013	father	40001010		
40001010014	of	40001010		
40001010015	Amon	40001010		
40001010016	,	40001010		
40001010017	and	40001010		
40001010018	Amon	40001010		
40001011001	and	40001011		
40001011002	Josiah	40001011		
40001011003	became	40001011		
40001011004	the	40001011		
40001011005	father	40001011		
40001011006	of	40001011		
40001011007	Jechoniah	40001011		
40001011008	and	40001011		
40001011009	his	40001011		
40001011010	brothers	40001011		
40001011011	,	40001011		
40001011012	at	40001011		
40001011013	the	40001011		
40001011014	time	40001011		
40001011015	of	40001011		
40001011016	the	40001011		
40001011017	deportation	40001011		
40001011018	to	40001011		
40001012001	And	40001012		
40001012002	after	40001012		
40001012003	the	40001012		
40001012004	deportation	40001012		
40001012005	to	40001012		
40001012006	Babylon	40001012		
40001012007	,	40001012		
40001012008	Jechoniah	40001012		
40001012009	became	40001012		
40001012010	the	40001012		
40001012011	father	40001012		
40001012012	of	40001012		
40001012013	Shealtiel	40001012		
40001012014	,	40001012		
40001012015	and	40001012		
40001012016	Shealtiel	40001012		
40001012017	became	40001012		
40001012018	the	40001012		
40001012019	father	40001012		
40001013001	and	40001013		
40001013002	Zerubbabel	40001013		
40001013003	became	40001013		
40001013004	the	40001013		
40001013005	father	40001013		
40001013006	of	40001013		
40001013007	Abiud	40001013		
40001013008	,	40001013		
40001013009	and	40001013		
40001013010	Abiud	40001013		
40001013011	became	40001013		
40001013012	the	40001013		
40001013013	father	40001013		
40001013014	of	40001013		
40001013015	Eliakim	40001013		
40001013016	,	40001013		
40001013017	and	40001013		
40001013018	Eliakim	40001013		
40001014001	and	40001014		
40001014002	Azor	40001014		
40001014003	became	40001014		
40001014004	the	40001014		
40001014005	father	40001014		
40001014006	of	40001014		
40001014007	Zadok	40001014		
40001014008	,	40001014		
40001014009	and	40001014		
40001014010	Zadok	40001014		
40001014011	became	40001014		
40001014012	the	40001014		
40001014013	father	40001014		
40001014014	of	40001014		
40001014015	Achim	40001014		
40001014016	,	40001014		
40001014017	and	40001014		
40001014018	Achim	40001014		
40001015001	and	40001015		
40001015002	Eliud	40001015		
40001015003	became	40001015		
40001015004	the	40001015		
40001015005	father	40001015		
40001015006	of	40001015		
40001015007	Eleazar	40001015		
40001015008	,	40001015		
40001015009	and	40001015		
40001015010	Eleazar	40001015		
40001015011	became	40001015		
40001015012	the	40001015		
40001015013	father	40001015		
40001015014	of	40001015		
40001015015	Matthan	40001015		
40001015016	,	40001015		
40001015017	and	40001015		
40001015018	Matthan	40001015		
40001016001	and	40001016		
40001016002	Jacob	40001016		
40001016003	became	40001016		
40001016004	the	40001016		
40001016005	father	40001016		
40001016006	of	40001016		
40001016007	Joseph	40001016		
40001016008	,	40001016		
40001016009	the	40001016		
40001016010	husband	40001016		
40001016011	of	40001016		
40001016012	Mary	40001016		
40001016013	by	40001016		
40001016014	whom	40001016		
40001016015	was	40001016		
40001016016	born	40001016		
40001016017	Jesus	40001016		
40001016018	,	40001016		
40001016019	who	40001016		
40001016020	is	40001016		
40001016021	called	40001016		
40001016022	Christ	40001016		
40001016023	.	40001016		
40001017001	Therefore	40001017		
40001017002	all	40001017		
40001017003	the	40001017		
40001017004	generations	40001017		
40001017005	from	40001017		
40001017006	Abraham	40001017		
40001017007	to	40001017		
40001017008	David	40001017		
40001017009	{	40001017		
40001017010	are	40001017		
40001017011	}	40001017		
40001017012	fourteen	40001017		
40001017013	generations	40001017		
40001017014	,	40001017		
40001017015	and	40001017		
40001017016	from	40001017		
40001017017	David	40001017		
40001017018	to	40001017		
40001017019	the	40001017		
40001017020	deportation	40001017		
40001017021	to	40001017		
40001017022	Babylon	40001017		
40001017023	{	40001017		
40001017024	are	40001017		
