id	altId	text	transType	isPunc	isPrimary	skip_space_after	exclude
51001001001	Dari-1	Dari		False	True	False	False
51001001002	Paulus-1	Paulus		False	True	False	False
51001001003	,-1	,		True	False	False	False
51001001004	seorang-1	seorang		False	True	False	False
51001001005	rasul-1	rasul		False	True	False	False
51001001006	Kristus-1	Kristus		False	True	False	False
51001001007	Yesus-1	Yesus		False	True	False	False
51001001008	,-2	,		True	False	False	False
51001001009	oleh-1	oleh		False	True	False	False
51001001010	kehendak-1	kehendak		False	True	False	False
51001001011	Allah-1	Allah		False	True	False	False
51001001012	,-3	,		True	False	False	False
51001001013	dan-1	dan		False	True	False	False
51001001014	Timotius-1	Timotius		False	True	False	False
51001001015	saudara-1	saudara		False	True	False	False
51001001016	kita-1	kita		False	True	False	False
51001001017	,-4	,		True	False	False	False
51001002001	kepada-1	kepada		False	True	False	False
51001002002	saudara-1	saudara		False	True	False	False
51001002003	--1	-		True	False	False	False
51001002004	saudara-2	saudara		False	True	False	False
51001002005	yang-1	yang		False	True	False	False
51001002006	kudus-1	kudus		False	True	False	False
51001002007	dan-1	dan		False	True	False	False
51001002008	yang-2	yang		False	True	False	False
51001002009	setia-1	setia		False	True	False	False
51001002010	dalam-1	dalam		False	True	False	False
51001002011	Kristus-1	Kristus		False	True	False	False
51001002012	di-1	di		False	True	False	False
51001002013	Kolose-1	Kolose		False	True	False	False
51001002014	.-1	.		True	False	False	False
51001002015	Anugerah-1	Anugerah		False	True	False	False
51001002016	dan-2	dan		False	True	False	False
51001002017	damai-1	damai		False	True	False	False
51001002018	dari-1	dari		False	True	False	False
51001002019	Allah-1	Allah		False	True	False	False
51001002020	,-1	,		True	False	False	False
51001002021	Bapa-1	Bapa		False	True	False	False
51001002022	kita-1	kita		False	True	False	False
51001002023	dan-3	dan		False	True	False	False
51001002024	dari-2	dari		False	True	False	False
51001002025	Tuhan-1	Tuhan		False	True	False	False
51001002026	Yesus-1	Yesus		False	True	False	False
51001002027	Kristus-2	Kristus		False	True	False	False
51001002028	menyertai-1	menyertai		False	True	False	False
51001002029	kamu-1	kamu		False	True	False	False
51001002030	.-2	.		True	False	False	False
51001003001	Kami-1	Kami		False	True	False	False
51001003002	mengucap-1	mengucap		False	True	False	False
51001003003	syukur-1	syukur		False	True	False	False
51001003004	kepada-1	kepada		False	True	False	False
51001003005	Allah-1	Allah		False	True	False	False
51001003006	,-1	,		True	False	False	False
51001003007	Bapa-1	Bapa		False	True	False	False
51001003008	Tuhan-1	Tuhan		False	True	False	False
51001003009	kita-1	kita		False	True	False	False
51001003010	Yesus-1	Yesus		False	True	False	False
51001003011	Kristus-1	Kristus		False	True	False	False
51001003012	,-2	,		True	False	False	False
51001003013	kami-1	kami		False	True	False	False
51001003014	selalu-1	selalu		False	True	False	False
51001003015	berdoa-1	berdoa		False	True	False	False
51001003016	untuk-1	untuk		False	True	False	False
51001003017	kamu-1	kamu		False	True	False	False
51001003018	,-3	,		True	False	False	False
51001004001	kami-1	kami		False	True	False	False
51001004002	telah-1	telah		False	True	False	False
51001004003	mendengar-1	mendengar		False	True	False	False
51001004004	tentang-1	tentang		False	True	False	False
51001004005	imanmu-1	imanmu		False	True	False	False
51001004006	dalam-1	dalam		False	True	False	False
51001004007	Kristus-1	Kristus		False	True	False	False
51001004008	Yesus-1	Yesus		False	True	False	False
51001004009	dan-1	dan		False	True	False	False
51001004010	tentang-2	tentang		False	True	False	False
51001004011	kasihmu-1	kasihmu		False	True	False	False
51001004012	terhadap-1	terhadap		False	True	False	False
51001004013	semua-1	semua		False	True	False	False
51001004014	orang-1	orang		False	True	False	False
51001004015	kudus-1	kudus		False	True	False	False
51001004016	,-1	,		True	False	False	False
51001005001	oleh-1	oleh		False	True	False	False
51001005002	karena-1	karena		False	True	False	False
51001005003	pengharapan-1	pengharapan		False	True	False	False
51001005004	,-1	,		True	False	False	False
51001005005	yang-1	yang		False	True	False	False
51001005006	disediakan-1	disediakan		False	True	False	False
51001005007	bagi-1	bagi		False	True	False	False
51001005008	kamu-1	kamu		False	True	False	False
51001005009	di-1	di		False	True	False	False
51001005010	surga-1	surga		False	True	False	False
51001005011	.-1	.		True	False	False	False
51001005012	Tentang-1	Tentang		False	True	False	False
51001005013	pengharapan-2	pengharapan		False	True	False	False
51001005014	itu-1	itu		False	True	False	False
51001005015	telah-1	telah		False	True	False	False
51001005016	kamu-2	kamu		False	True	False	False
51001005017	dengar-1	dengar		False	True	False	False
51001005018	sebelumnya-1	sebelumnya		False	True	False	False
51001005019	dalam-1	dalam		False	True	False	False
51001005020	firman-1	firman		False	True	False	False
51001005021	kebenaran-1	kebenaran		False	True	False	False
51001005022	,-2	,		True	False	False	False
51001005023	yaitu-1	yaitu		False	True	False	False
51001005024	Injil-1	Injil		False	True	False	False
51001005025	,-3	,		True	False	False	False
51001006001	yang-1	yang		False	True	False	False
51001006002	sudah-1	sudah		False	True	False	False
51001006003	sampai-1	sampai		False	True	False	False
51001006004	kepada-1	kepada		False	True	False	False
51001006005	kamu-1	kamu		False	True	False	False
51001006006	seperti-1	seperti		False	True	False	False
51001006007	juga-1	juga		False	True	False	False
51001006008	di-1	di		False	True	False	False
51001006009	seluruh-1	seluruh		False	True	False	False
51001006010	dunia-1	dunia		False	True	False	False
51001006011	,-1	,		True	False	False	False
51001006012	yang-2	yang		False	True	False	False
51001006013	sedang-1	sedang		False	True	False	False
51001006014	menghasikan-1	menghasikan		False	True	False	False
51001006015	buah-1	buah		False	True	False	False
51001006016	dan-1	dan		False	True	False	False
51001006017	berkembang-1	berkembang		False	True	False	False
51001006018	,-2	,		True	False	False	False
51001006019	sebagaimana-1	sebagaimana		False	True	False	False
51001006020	juga-2	juga		False	True	False	False
51001006021	di-2	di		False	True	False	False
51001006022	antara-1	antara		False	True	False	False
51001006023	kamu-2	kamu		False	True	False	False
51001006024	sejak-1	sejak		False	True	False	False
51001006025	waktu-1	waktu		False	True	False	False
51001006026	kamu-3	kamu		False	True	False	False
