id	altId	text	transType	isPunc	isPrimary	skip_space_after	exclude
51001001001	{-1	{		True	False	False	False
51001001002	Aku-1	Aku		False	True	False	False
51001001003	,-1	,		True	False	False	False
51001001004	}-1	}		True	False	False	False
51001001005	Paulus-1	Paulus		False	True	False	False
51001001006	,-2	,		True	False	False	False
51001001007	{-2	{		True	False	False	False
51001001008	menulis-1	menulis		False	True	False	False
51001001009	surat-1	surat		False	True	False	False
51001001010	ini-1	ini		False	True	False	False
51001001011	kepada-1	kepada		False	True	False	False
51001001012	kalian-1	kalian		False	True	False	False
51001001013	,-3	,		True	False	False	False
51001001014	}-2	}		True	False	False	False
51001001015	dan-1	dan		False	True	False	False
51001001016	Timotius-1	Timotius		False	True	False	False
51001001017	rekan-1	rekan		False	True	False	False
51001001018	seiman-1	seiman		False	True	False	False
51001001019	kita-1	kita		False	True	False	False
51001001020	{-3	{		True	False	False	False
51001001021	ada-1	ada		False	True	False	False
51001001022	bersamaku-1	bersamaku		False	True	False	False
51001001023	}-3	}		True	False	False	False
51001001024	.-1	.		True	False	False	False
51001001025	Allah-1	Allah		False	True	False	False
51001001026	telah-1	telah		False	True	False	False
51001001027	mengutus-1	mengutus		False	True	False	False
51001001028	aku-1	aku		False	True	False	False
51001001029	untuk-1	untuk		False	True	False	False
51001001030	mewakili-1	mewakili		False	True	False	False
51001001031	Yesus-1	Yesus		False	True	False	False
51001001032	sang-1	sang		False	True	False	False
51001001033	Mesias-1	Mesias		False	True	False	False
51001001034	,-4	,		True	False	False	False
51001001035	karena-1	karena		False	True	False	False
51001001036	itulah-1	itulah		False	True	False	False
51001001037	yang-1	yang		False	True	False	False
51001001038	telah-2	telah		False	True	False	False
51001001039	Allah-2	Allah		False	True	False	False
51001001040	pilih-1	pilih		False	True	False	False
51001001041	untuk-2	untuk		False	True	False	False
51001001042	lakukan-1	lakukan		False	True	False	False
51001002001	{-1	{		True	False	False	False
51001002002	Aku-1	Aku		False	True	False	False
51001002003	mengirim-1	mengirim		False	True	False	False
51001002004	surat-1	surat		False	True	False	False
51001002005	ini-1	ini		False	True	False	False
51001002006	}-1	}		True	False	False	False
51001002007	kepada-1	kepada		False	True	False	False
51001002008	kalian-1	kalian		False	True	False	False
51001002009	,-1	,		True	False	False	False
51001002010	yang-1	yang		False	True	False	False
51001002011	adalah-1	adalah		False	True	False	False
51001002012	umat-1	umat		False	True	False	False
51001002013	Allah-1	Allah		False	True	False	False
51001002014	dan-1	dan		False	True	False	False
51001002015	rekan-1	rekan		False	True	False	False
51001002016	--1	-		True	False	False	False
51001002017	rekan-2	rekan		False	True	False	False
51001002018	seiman-1	seiman		False	True	False	False
51001002019	yang-2	yang		False	True	False	False
51001002020	setia-1	setia		False	True	False	False
51001002021	,-2	,		True	False	False	False
51001002022	yang-3	yang		False	True	False	False
51001002023	telah-1	telah		False	True	False	False
51001002024	disatukan-1	disatukan		False	True	False	False
51001002025	dengan-1	dengan		False	True	False	False
51001002026	Mesias-1	Mesias		False	True	False	False
51001002027	,-3	,		True	False	False	False
51001002028	{-2	{		True	False	False	False
51001002029	yang-4	yang		False	True	False	False
51001002030	tinggal-1	tinggal		False	True	False	False
51001002031	}-2	}		True	False	False	False
51001002032	di-1	di		False	True	False	False
51001002033	{-3	{		True	False	False	False
51001002034	kota-1	kota		False	True	False	False
51001002035	}-3	}		True	False	False	False
51001002036	Kolose-1	Kolose		False	True	False	False
51001002037	.-1	.		True	False	False	False
51001002038	{-4	{		True	False	False	False
51001002039	Semoga-1	Semoga		False	True	False	False
51001002040	}-4	}		True	False	False	False
51001002041	Allah-2	Allah		False	True	False	False
51001002042	,-4	,		True	False	False	False
51001002043	Bapa-1	Bapa		False	True	False	False
51001002044	kita-1	kita		False	True	False	False
51001002045	,-5	,		True	False	False	False
51001002046	dan-2	dan		False	True	False	False
51001002047	Tuhan-1	Tuhan		False	True	False	False
51001002048	Yesus-1	Yesus		False	True	False	False
51001002049	Sang-1	Sang		False	True	False	False
51001002050	Messias-1	Messias		False	True	False	False
51001002051	,-6	,		True	False	False	False
51001002052	{-5	{		True	False	False	False
51001002053	terus-1	terus		False	True	False	False
51001002054	}-5	}		True	False	False	False
51001002055	bersikap-1	bersikap		False	True	False	False
51001002056	baik-1	baik		False	True	False	False
51001002057	kepada-2	kepada		False	True	False	False
51001002058	kalian-2	kalian		False	True	False	False
51001002059	dan-3	dan		False	True	False	False
51001002060	memberikan-1	memberikan		False	True	False	False
51001002061	kedamaian-1	kedamaian		False	True	False	False
51001002062	kepada-3	kepada		False	True	False	False
51001002063	kalian-3	kalian		False	True	False	False
51001002064	.-2	.		True	False	False	False
51001003001	Kami-1	Kami		False	True	False	False
51001003002	sangat-1	sangat		False	True	False	False
51001003003	sering-1	sering		False	True	False	False
51001003004	berdoa-1	berdoa		False	True	False	False
51001003005	untuk-1	untuk		False	True	False	False
51001003006	kalian-1	kalian		False	True	False	False
51001003007	.-1	.		True	False	False	False
51001003008	{-1	{		True	False	False	False
51001003009	Ketika-1	Ketika		False	True	False	False
51001003010	kami-1	kami		False	True	False	False
51001003011	melakukannya-1	melakukannya		False	True	False	False
51001003012	,-1	,		True	False	False	False
51001003013	}-1	}		True	False	False	False
51001003014	kami-2	kami		False	True	False	False
51001003015	bersyukur-1	bersyukur		False	True	False	False
51001003016	kepada-1	kepada		False	True	False	False
51001003017	Allah-1	Allah		False	True	False	False
51001003018	,-2	,		True	False	False	False
51001003019	Bapa-1	Bapa		False	True	False	False
51001003020	Tuhan-1	Tuhan		False	True	False	False
51001003021	kita-1	kita		False	True	False	False
