id	altId	text	transType	isPunc	isPrimary
40001001001	A-1	A	m	False	False
40001001002	roll-1	roll	k	False	True
40001001003	of-1	of	m	False	False
40001001004	the-1	the		False	False
40001001005	birth-1	birth	k	False	True
40001001006	of-2	of	m	False	False
40001001007	Jesus-1	Jesus	k	False	True
40001001008	Christ-1	Christ	k	False	True
40001001009	,-1	,		False	False
40001001010	son-1	son	k	False	True
40001001011	of-2	of	m	False	False
40001001012	David-1	David	k	False	True
40001001013	,-2	,		False	False
40001001014	son-2	son	k	False	True
40001001015	of-2	of	m	False	False
40001001016	Abraham-1	Abraham	k	False	True
40001001017	.-1	.		False	False
40001002001	Abraham-1	Abraham	k	False	True
40001002002	begat-1	begat	k	False	True
40001002003	Isaac-1	Isaac	k	False	True
40001002004	,-1	,		False	False
40001002005	and-1	and	k	False	True
40001002006	Isaac-2	Isaac	k	False	True
40001002007	begat-2	begat	k	False	True
40001002008	Jacob-1	Jacob	k	False	True
40001002009	,-2	,		False	False
40001002010	and-2	and	k	False	True
40001002011	Jacob-2	Jacob	k	False	True
40001002012	begat-2	begat	k	False	True
40001002013	Judah-1	Judah	k	False	True
40001002014	and-2	and	k	False	True
40001002015	his-1	his	k	False	True
40001002016	brethren-1	brethren	k	False	True
40001002017	,-2	,		False	False
40001003001	and-1	and	k	False	True
40001003002	Judah-1	Judah	k	False	True
40001003003	begat-1	begat	k	False	True
40001003004	Pharez-1	Pharez	k	False	True
40001003005	and-2	and	k	False	True
40001003006	Zarah-1	Zarah	k	False	True
40001003007	of-1	of	k	False	True
40001003008	Tamar-1	Tamar	k	False	True
40001003009	,-1	,		False	False
40001003010	and-2	and	k	False	True
40001003011	Pharez-2	Pharez	k	False	True
40001003012	begat-2	begat	k	False	True
40001003013	Hezron-1	Hezron	k	False	True
40001003014	,-2	,		False	False
40001003015	and-2	and	k	False	True
40001003016	Hezron-2	Hezron	k	False	True
40001003017	begat-2	begat	k	False	True
40001003018	Ram-1	Ram	k	False	True
40001003019	,-2	,		False	False
40001004001	and-1	and	k	False	True
40001004002	Ram-1	Ram	k	False	True
40001004003	begat-1	begat	k	False	True
40001004004	Amminadab-1	Amminadab	k	False	True
40001004005	,-1	,		False	False
40001004006	and-2	and	k	False	True
40001004007	Amminadab-2	Amminadab	k	False	True
40001004008	begat-2	begat	k	False	True
40001004009	Nahshon-1	Nahshon	k	False	True
40001004010	,-2	,		False	False
40001004011	and-2	and	k	False	True
40001004012	Nahshon-2	Nahshon	k	False	True
40001004013	begat-2	begat	k	False	True
40001004014	Salmon-1	Salmon	k	False	True
40001004015	,-2	,		False	False
40001005001	and-1	and	k	False	True
40001005002	Salmon-1	Salmon	k	False	True
40001005003	begat-1	begat	k	False	True
40001005004	Boaz-1	Boaz	k	False	True
40001005005	of-1	of	k	False	True
40001005006	Rahab-1	Rahab	k	False	True
40001005007	,-1	,		False	False
40001005008	and-2	and	k	False	True
40001005009	Boaz-2	Boaz	k	False	True
40001005010	begat-2	begat	k	False	True
40001005011	Obed-1	Obed	k	False	True
40001005012	of-2	of	k	False	True
40001005013	Ruth-1	Ruth	k	False	True
40001005014	,-2	,		False	False
40001005015	and-2	and	k	False	True
40001005016	Obed-2	Obed	k	False	True
40001005017	begat-2	begat	k	False	True
40001005018	Jesse-1	Jesse	k	False	True
40001005019	,-2	,		False	False
40001006001	and-1	and	k	False	True
40001006002	Jesse-1	Jesse	k	False	True
40001006003	begat-1	begat	k	False	True
40001006004	David-1	David	k	False	True
40001006005	the-1	the	k	False	True
40001006006	king-1	king	k	False	True
40001006007	.-1	.		False	False
40001006008	And-1	And	k	False	True
40001006009	David-2	David	k	False	True
40001006010	the-2	the	s	False	False
40001006011	king-2	king	s	False	False
40001006012	begat-2	begat	k	False	True
40001006013	Solomon-1	Solomon	k	False	True
40001006014	,-1	,		False	False
40001006015	of-1	of	k	False	True
40001006016	her-1	her	k	False	True
40001006017	[-1	[		False	False
40001006018	who-1	who		False	False
40001006019	had-1	had		False	False
40001006020	been-1	been		False	False
40001006021	]-1	]		False	False
40001006022	Uriah’s-1	Uriah’s	k	False	True
40001006023	,-2	,		False	False
40001007001	and-1	and	k	False	True
40001007002	Solomon-1	Solomon	k	False	True
40001007003	begat-1	begat	k	False	True
40001007004	Rehoboam-1	Rehoboam	k	False	True
40001007005	,-1	,		False	False
40001007006	and-2	and	k	False	True
40001007007	Rehoboam-2	Rehoboam	k	False	True
40001007008	begat-2	begat	k	False	True
40001007009	Abijah-1	Abijah	k	False	True
40001007010	,-2	,		False	False
40001007011	and-2	and	k	False	True
40001007012	Abijah-2	Abijah	k	False	True
40001007013	begat-2	begat	k	False	True
40001007014	Asa-1	Asa	k	False	True
40001007015	,-2	,		False	False
40001008001	and-1	and	k	False	True
40001008002	Asa-1	Asa	k	False	True
40001008003	begat-1	begat	k	False	True
40001008004	Jehoshaphat-1	Jehoshaphat	k	False	True
40001008005	,-1	,		False	False
40001008006	and-2	and	k	False	True
40001008007	Jehoshaphat-2	Jehoshaphat	k	False	True
40001008008	begat-2	begat	k	False	True
40001008009	Joram-1	Joram	k	False	True
40001008010	,-2	,		False	False
40001008011	and-2	and	k	False	True
40001008012	Joram-2	Joram	k	False	True
40001008013	begat-2	begat	k	False	True
40001008014	Uzziah-1	Uzziah	k	False	True
40001008015	,-2	,		False	False
40001009001	and-1	and	k	False	True
40001009002	Uzziah-1	Uzziah	k	False	True
40001009003	begat-1	begat	k	False	True
40001009004	Jotham-1	Jotham	k	False	True
40001009005	,-1	,		False	False
40001009006	and-2	and	k	False	True
40001009007	Jotham-2	Jotham	k	False	True
40001009008	begat-2	begat	k	False	True
40001009009	Ahaz-1	Ahaz	k	False	True
40001009010	,-2	,		False	False
40001009011	and-2	and	k	False	True
40001009012	Ahaz-2	Ahaz	k	False	True
40001009013	begat-2	begat	k	False	True
40001009014	Hezekiah-1	Hezekiah	k	False	True
40001009015	,-2	,		False	False
40001010001	and-1	and	k	False	True
40001010002	Hezekiah-1	Hezekiah	k	False	True
40001010003	begat-1	begat	k	False	True
40001010004	Manasseh-1	Manasseh	k	False	True
40001010005	,-1	,		False	False
40001010006	and-2	and	k	False	True
40001010007	Manasseh-2	Manasseh	k	False	True
40001010008	begat-2	begat	k	False	True
40001010009	Amon-1	Amon	k	False	True
40001010010	,-2	,		False	False
40001010011	and-2	and	k	False	True
40001010012	Amon-2	Amon	k	False	True
40001010013	begat-2	begat	k	False	True
40001010014	Josiah-1	Josiah	k	False	True
40001010015	,-2	,		False	False
40001011001	and-1	and	k	False	True
40001011002	Josiah-1	Josiah	k	False	True
40001011003	begat-1	begat	k	False	True
40001011004	Jeconiah-1	Jeconiah	k	False	True
40001011005	and-2	and	k	False	True
40001011006	his-1	his	k	False	True
40001011007	brethren-1	brethren	k	False	True
40001011008	,-1	,		False	False
40001011009	at-1	at	k	False	True
40001011010	the-1	the	k	False	True
40001011011	Babylonian-1	Babylonian	k	False	True
40001011012	removal-1	removal	k	False	True
40001011013	.-1	.		False	False
40001012001	And-1	And	k	False	True
40001012002	after-1	after	k	False	True
40001012003	the-1	the	k	False	True
40001012004	Babylonian-1	Babylonian	k	False	True
40001012005	removal-1	removal	k	False	True
40001012006	,-1	,		False	False
40001012007	Jeconiah-1	Jeconiah	k	False	True
40001012008	begat-1	begat	k	False	True
40001012009	Shealtiel-1	Shealtiel	k	False	True
40001012010	,-2	,		False	False
40001012011	and-1	and	k	False	True
40001012012	Shealtiel-2	Shealtiel	k	False	True
40001012013	begat-2	begat	k	False	True
40001012014	Zerubbabel-1	Zerubbabel	k	False	True
40001012015	,-2	,		False	False
40001013001	and-1	and	k	False	True
40001013002	Zerubbabel-1	Zerubbabel	k	False	True
40001013003	begat-1	begat	k	False	True
40001013004	Abiud-1	Abiud	k	False	True
40001013005	,-1	,		False	False
40001013006	and-2	and	k	False	True
40001013007	Abiud-2	Abiud	k	False	True
40001013008	begat-2	begat	k	False	True
40001013009	Eliakim-1	Eliakim	k	False	True
40001013010	,-2	,		False	False
40001013011	and-2	and	k	False	True
40001013012	Eliakim-2	Eliakim	k	False	True
40001013013	begat-2	begat	k	False	True
40001013014	Azor-1	Azor	k	False	True
40001013015	,-2	,		False	False
40001014001	and-1	and	k	False	True
40001014002	Azor-1	Azor	k	False	True
40001014003	begat-1	begat	k	False	True
40001014004	Sadok-1	Sadok	k	False	True
40001014005	,-1	,		False	False
40001014006	and-2	and	k	False	True
40001014007	Sadok-2	Sadok	k	False	True
40001014008	begat-2	begat	k	False	True
40001014009	Achim-1	Achim	k	False	True
40001014010	,-2	,		False	False
40001014011	and-2	and	k	False	True
40001014012	Achim-2	Achim	k	False	True
40001014013	begat-2	begat	k	False	True
40001014014	Eliud-1	Eliud	k	False	True
40001014015	,-2	,		False	False
40001015001	and-1	and	k	False	True
40001015002	Eliud-1	Eliud	k	False	True
40001015003	begat-1	begat	k	False	True
40001015004	Eleazar-1	Eleazar	k	False	True
40001015005	,-1	,		False	False
40001015006	and-2	and	k	False	True
40001015007	Eleazar-2	Eleazar	k	False	True
40001015008	begat-2	begat	k	False	True
40001015009	Matthan-1	Matthan	k	False	True
40001015010	,-2	,		False	False
40001015011	and-2	and	k	False	True
40001015012	Matthan-2	Matthan	k	False	True
40001015013	begat-2	begat	k	False	True
40001015014	Jacob-1	Jacob	k	False	True
40001015015	,-2	,		False	False
40001016001	and-1	and	k	False	True
40001016002	Jacob-1	Jacob	k	False	True
40001016003	begat-1	begat	k	False	True
40001016004	Joseph-1	Joseph	k	False	True
40001016005	,-1	,		False	False
40001016006	the-1	the	k	False	True
40001016007	husband-1	husband	k	False	True
40001016008	of-1	of	m	False	False
40001016009	Mary-1	Mary	k	False	True
40001016010	,-2	,		False	False
40001016011	of-2	of	k	False	True
40001016012	whom-1	whom	k	False	True
40001016013	was-1	was	m	False	False
40001016014	begotten-1	begotten	k	False	True
40001016015	Jesus-1	Jesus	k	False	True
40001016016	,-2	,		False	False
40001016017	who-1	who	m	False	False
40001016018	is-1	is	m	False	False
40001016019	named-1	named	k	False	True
40001016020	Christ-1	Christ	k	False	True
40001016021	.-1	.		False	False
40001017001	All-1	All	k	False	True
40001017002	the-1	the	k	False	True
40001017003	generations-1	generations	k	False	True
40001017004	,-1	,		False	False
40001017005	therefore-1	therefore	k	False	True
40001017006	,-2	,		False	False
40001017007	from-1	from	k	False	True
40001017008	Abraham-1	Abraham	k	False	True
40001017009	unto-1	unto	k	False	True
40001017010	David-1	David	k	False	True
40001017011	[-1	[		False	False
40001017012	are-1	are		False	False
40001017013	]-1	]		False	False
40001017014	fourteen-1	fourteen	k	False	True
