id	altId	text	transType	isPunc	isPrimary
40001009001	ဩဇိ-1	ဩဇိ	k	False	True
40001009002	သား-1	သား	d	False	True
40001009003	ယောသံ-1	ယောသံ	k	False	True
40001009004	။-1	။		False	False
40001009005	ယောသံ-2	ယောသံ	k	False	True
40001009006	သား-2	သား	d	False	True
40001009007	အာခတ်-1	အာခတ်	k	False	True
40001009008	။-2	။		False	False
40001009009	အာခတ်-2	အာခတ်	k	False	True
40001009010	သား-2	သား	d	False	True
40001009011	ဟေဇကိ-1	ဟေဇကိ	k	False	True
40001009012	။-2	။		False	False
40001019001	သူ-1	သူ	k	False	True
40001019002	၏-1	၏	m	False	False
40001019003	ခင်ပွန်း-1	ခင်ပွန်း	k	False	True
40001019004	ယောသပ်-1	ယောသပ်	k	False	True
40001019005	သည်-1	သည်	m	False	False
40001019006	သူတော်ကောင်း-1	သူတော်ကောင်း	k	False	True
40001019007	ဖြစ်-1	ဖြစ်	k	False	True
40001019008	၍-1	၍	k	False	True
40001019009	၊-1	၊		False	False
40001019010	မာရိ-1	မာရိ	s	False	True
40001019011	အသရေ-1	အသရေ	k	False	True
40001019012	ကို-1	ကို	m	False	False
40001019013	မ-1	မ	k	False	True
40001019014	ပျက်-1	ပျက်	k	False	False
40001019015	စေ-1	စေ	m	False	False
40001019016	ချင်-1	ချင်	k	False	True
40001019017	သောကြောင့်-1	သောကြောင့်		False	False
40001019018	တိတ်ဆိတ်-1	တိတ်ဆိတ်	k	False	True
40001019019	စွာ-1	စွာ	m	False	False
40001019020	စွန့်ပယ်-1	စွန့်ပယ်	k	False	True
40001019021	မည်-1	မည်	m	False	False
40001019022	ဟု-1	ဟု		False	False
40001019023	အကြံရှိ-1	အကြံရှိ	k	False	True
40001019024	၏-2	၏	m	False	False
40001019025	။-1	။		False	False
40001025001	သို့သော်လည်း-1	သို့သော်လည်း	k	False	True
40001025002	၊-1	၊		False	False
40001025003	သား-1	သား	k	False	True
40001025004	ဦး-1	ဦး	a	False	False
40001025005	ကို-1	ကို	m	False	False
40001025006	မ-1	မ	k	False	True
40001025007	ဘွား-1	ဘွား	k	False	True
40001025008	မှီ-1	မှီ	k	False	False
40001025009	တိုင်အောင်-1	တိုင်အောင်	k	False	False
40001025010	သံဝါသ-1	သံဝါသ	d	False	True
40001025011	မ-2	မ	k	False	True
40001025012	ပြု-1	ပြု	d	False	False
40001025013	ဘဲ-1	ဘဲ	m	False	False
40001025014	နေ-1	နေ	m	False	False
40001025015	၏-1	၏	m	False	False
40001025016	။-1	။		False	False
40001025017	ထို-1	ထို	a	False	False
40001025018	သား-2	သား	s	False	True
40001025019	ကို-2	ကို	m	False	False
40001025020	လည်း-1	လည်း	k	False	True
40001025021	ယေရှု-1	ယေရှု	k	False	True
40001025022	ဟူသော-1	ဟူသော		False	False
40001025023	အမည်-1	အမည်	k	False	True
40001025024	ဖြင့်-1	ဖြင့်	m	False	False
40001025025	မှည့်-1	မှည့်	k	False	True
40001025026	လေ-1	လေ	a	False	False
40001025027	၏-2	၏	m	False	False
40001025028	။-2	။		False	False
40002009001	ထို-1	ထို	a	False	False
40002009002	သူ-1	သူ	k	False	True
40002009003	တို့-1	တို့	m	False	False
40002009004	သည်-1	သည်	m	False	False
40002009005	မင်းကြီး-1	မင်းကြီး	k	False	True
40002009006	စကား-1	စကား	a	False	False
40002009007	ကို-1	ကို	m	False	False
40002009008	နာခံ-1	နာခံ	k	False	True
40002009009	ပြီးလျှင်-1	ပြီးလျှင်	k	False	True
40002009010	ထွက်သွား-1	ထွက်သွား	k	False	True
40002009011	ကြ-1	ကြ	m	False	False
40002009012	၍-1	၍	m	False	False
40002009013	၊-1	၊		False	False
40002009014	အရှေ့-1	အရှေ့	k	False	True
40002009015	ပြည်-1	ပြည်	a	False	False
40002009016	၌-1	၌	k	False	True
40002009017	မြင်-1	မြင်	k	False	True
40002009018	ရ-1	ရ	m	False	False
40002009019	သော-1	သော	m	False	False
40002009020	ကြယ်-1	ကြယ်	k	False	True
40002009021	သည်-2	သည်	m	False	False
40002009022	သူ-2	သူ	k	False	True
40002009023	တို့-2	တို့	k	False	False
40002009024	ရှေ့-1	ရှေ့	k	False	True
40002009025	က-1	က	m	False	False
40002009026	သွား-1	သွား	a	False	False
40002009027	သဖြင့်-1	သဖြင့်	m	False	False
40002009028	၊-2	၊		False	False
40002009029	သူငယ်-1	သူငယ်	k	False	True
40002009030	တော်-1	တော်	v	False	False
40002009031	ရှိ-1	ရှိ	k	False	True
40002009032	ရာ-1	ရာ	m	False	False
40002009033	အရပ်-1	အရပ်	k	False	True
40002009034	အပေါ်သို့-1	အပေါ်သို့	k	False	True
40002009035	ရောက်-1	ရောက်	k	False	True
40002009036	၍-2	၍	m	False	False
40002009037	တည်-1	တည်	k	False	True
40002009038	လျက်-1	လျက်	m	False	False
40002009039	နေ-1	နေ	m	False	False
40002009040	၏-1	၏	m	False	False
40002009041	။-1	။		False	False
40002019001	ဟေရုဒ်-1	ဟေရုဒ်	k	False	True
40002019002	မင်းကြီး-1	မင်းကြီး	a	False	False
40002019003	အနိစ္စ-1	အနိစ္စ	k	False	True
40002019004	ရောက်-1	ရောက်	k	False	False
40002019005	သည်-1	သည်	m	False	False
40002019006	နောက်-1	နောက်	k	False	True
40002019007	၊-1	၊		False	False
40002019008	ယောသပ်-1	ယောသပ်	k	False	True
40002019009	သည်-2	သည်	m	False	False
40002019010	အဲဂုတ္တု-1	အဲဂုတ္တု	k	False	True
40002019011	ပြည်-1	ပြည်	a	False	False
40002019012	၌-1	၌	k	False	True
40002019013	အိပ်မက်-1	အိပ်မက်	k	False	True
40002019014	ကို-1	ကို	m	False	False
40002019015	မြင်-1	မြင်	k	False	True
40002019016	ပြန်-1	ပြန်	m	False	False
40002019017	သည်-2	သည်	m	False	False
40002019018	မှာ-1	မှာ		False	False
40002019019	၊-2	၊		False	False
40002019020	ထာဝရ-1	ထာဝရ	k	False	True
40002019021	ဘုရား-1	ဘုရား	k	False	False
40002019022	၏-1	၏	m	False	False
40002019023	ကောင်းကင်-1	ကောင်းကင်	k	False	False
40002019024	တမန်-1	တမန်	k	False	True
40002019025	သည်-2	သည်	m	False	False
40002019026	ထင်ရှား-1	ထင်ရှား	k	False	True
40002019027	၍-1	၍	m	False	False
40002019028	၊-2	၊		False	False
40002023001	ခရစ်တော်-1	ခရစ်တော်	s	False	False
40002023002	ကို-1	ကို	m	False	False
40002023003	နာဇရက်-1	နာဇရက်	k	False	True
40002023004	လူ-1	လူ	a	False	False
40002023005	ဟု-1	ဟု		False	False
40002023006	ခေါ်ဝေါ်-1	ခေါ်ဝေါ်	k	False	True
40002023007	ကြ-1	ကြ	m	False	False
40002023008	လတံ့-1	လတံ့	m	False	False
40002023009	ဟူသော-1	ဟူသော		False	False
40002023010	ပရောဖက်-1	ပရောဖက်	k	False	True
40002023011	တို့-1	တို့	m	False	False
40002023012	၏-1	၏	m	False	False
40002023013	နှုတ်ထွက်-1	နှုတ်ထွက်	s	False	True
40002023014	နှင့်အညီ-1	နှင့်အညီ		False	False
40002023015	၊-1	၊		False	False
40002023016	နာဇရက်-2	နာဇရက်	k	False	True
40002023017	အမည်-1	အမည်	k	False	True
40002023018	ရှိ-1	ရှိ	k	False	False
40002023019	သော-1	သော	m	False	False
40002023020	မြို့-1	မြို့	k	False	True
40002023021	သို့-1	သို့	k	False	True
40002023022	ရောက်-1	ရောက်	k	False	True
40002023023	၍-1	၍	k	False	True
40002023024	အမြဲ-1	အမြဲ	a	False	False
40002023025	နေ-1	နေ	k	False	True
40002023026	လေ-1	လေ	a	False	False
40002023027	၏-2	၏	m	False	False
40002023028	။-1	။		False	False
40003009001	အာဗြဟံ-1	အာဗြဟံ	k	False	True
40003009002	သည်-1	သည်	m	False	False
40003009003	ငါ-1	ငါ	m	False	False
40003009004	တို့-1	တို့	m	False	False
40003009005	အဘ-1	အဘ	k	False	True
40003009006	ဖြစ်-1	ဖြစ်	k	False	True
40003009007	သည်-2	သည်	m	False	False
40003009008	ဟူ၍-1	ဟူ၍		False	False
40003009009	စိတ်-1	စိတ်		False	False
40003009010	ထဲ၌-1	ထဲ၌	k	False	True
40003009011	မ-1	မ	k	False	True
40003009012	အောက်မေ့-1	အောက်မေ့	k	False	True
40003009013	ကြ-1	ကြ	m	False	False
40003009014	နှင့်-1	နှင့်	m	False	False
40003009015	။-1	။		False	False
40003009016	ဘုရားသခင်-1	ဘုရားသခင်	k	False	True
40003009017	သည်-2	သည်	m	False	False
40003009018	ဤ-1	ဤ	k	False	True
40003009019	ကျောက်ခဲ-1	ကျောက်ခဲ	k	False	True
40003009020	တို့-2	တို့	m	False	False
40003009021	မှ-1	မှ	k	False	True
40003009022	အာဗြဟံ-2	အာဗြဟံ	k	False	True
40003009023	သား-1	သား	k	False	True
40003009024	တို့-2	တို့	a	False	False
40003009025	ကို-1	ကို	m	False	False
40003009026	ထုတ်ဘော်-1	ထုတ်ဘော်	k	False	True
40003009027	ဖန်ဆင်း-1	ဖန်ဆင်း	a	False	False
40003009028	နိုင်-1	နိုင်	k	False	True
40003009029	တော်မူ-1	တော်မူ	v	False	False
40003009030	သည်-2	သည်	m	False	False
40003009031	ဟု-1	ဟု		False	False
40003009032	ငါ-2	ငါ	m	False	False
40003009033	အမှန်-1	အမှန်		False	False
40003009034	ဆို-1	ဆို	k	False	True
40003009035	၏-1	၏	m	False	False
40003009036	။-2	။		False	False
40003017001	ဤ-1	ဤ	k	False	True
40003017002	သူ-1	သူ	a	False	False
40003017003	ကား-1	ကား	m	False	False
40003017004	ငါ-1	ငါ	m	False	False
40003017005	နှစ်သက်-1	နှစ်သက်	k	False	True
40003017006	မြတ်နိုး-1	မြတ်နိုး	k	False	False
40003017007	ရာ-1	ရာ	m	False	False
40003017008	၊-1	၊		False	False
40003017009	ငါ-2	ငါ	k	False	True
40003017010	၏-1	၏	m	False	False
40003017011	ချစ်-1	ချစ်	k	False	True
40003017012	သား-1	သား	k	False	True
40003017013	ပေတည်း-1	ပေတည်း	k	False	True
40003017014	ဟု-1	ဟု		False	False
40003017015	ကောင်းကင်-1	ကောင်းကင်	k	False	True
40003017016	က-1	က	m	False	False
40003017017	အသံ-1	အသံ	k	False	True
40003017018	တော်-1	တော်	v	False	False
40003017019	ဖြစ်-1	ဖြစ်		False	False
40003017020	လေ-1	လေ		False	False
40003017021	၏-2	၏		False	False
40003017022	။-1	။		False	False
40004009001	ကိုယ်တော်-1	ကိုယ်တော်	m	False	False
40004009002	သည်-1	သည်	m	False	False
40004009003	ငါ့-1	ငါ့	k	False	True
40004009004	ကို-1	ကို	m	False	False
40004009005	ညွတ်ပြပ်-1	ညွတ်ပြပ်	k	False	True
40004009006	ကိုးကွယ်-1	ကိုးကွယ်	k	False	True
40004009007	လျှင်-1	လျှင်	k	False	True
40004009008	ယခု-1	ယခု	d	False	True
40004009009	ပြ-1	ပြ	d	False	False
40004009010	လေ-1	လေ	d	False	False
40004009011	သမျှ-1	သမျှ	k	False	True
40004009012	တို့-1	တို့	m	False	False
40004009013	ကို-2	ကို	m	False	False
40004009014	ငါ-1	ငါ	m	False	False
40004009015	ပေး-1	ပေး	k	False	True
40004009016	မည်-1	မည်	m	False	False
40004009017	ဟု-1	ဟု		False	False
40004009018	ဆို-1	ဆို	k	False	True
40004009019	လေ-2	လေ	a	False	False
40004009020	၏-1	၏	m	False	False
40004009021	။-1	။		False	False
40004019001	ထို-1	ထို	a	False	False
40004019002	သူ-1	သူ	k	False	True
40004019003	တို့-1	တို့	k	False	False
40004019004	အား-1	အား	m	False	False
40004019005	ငါ့-1	ငါ့	k	False	True
40004019006	နောက်-1	နောက်	k	False	True
40004019007	သို့-1	သို့	m	False	False
40004019008	လိုက်-1	လိုက်	k	False	True
40004019009	ကြ-1	ကြ	m	False	False
40004019010	လော့-1	လော့	m	False	False
40004019011	။-1	။		False	False
40004019012	သင်-1	သင်	k	False	True
40004019013	တို့-2	တို့	k	False	False
40004019014	သည်-1	သည်	m	False	False
40004019015	လူ-1	လူ	k	False	True
40004019016	ကို-1	ကို	m	False	False
40004019017	မျှား-1	မျှား		False	False
40004019018	သော-1	သော		False	False
40004019019	တံငါ-1	တံငါ	k	False	True
40004019020	ဖြစ်-1	ဖြစ်		False	False
40004019021	စေခြင်းငှာ-1	စေခြင်းငှာ		False	False
40004019022	ငါ-1	ငါ	m	False	False
40004019023	ပြု-1	ပြု	k	False	True
40004019024	မည်-1	မည်	m	False	False
40004019025	ဟု-1	ဟု		False	False
40004019026	အမိန့်-1	အမိန့်	k	False	True
40004019027	တော်-1	တော်	v	False	False
40004019028	ရှိ-1	ရှိ	k	False	False
40004019029	လေ-1	လေ	a	False	False
40004019030	သော်-1	သော်	k	False	True
40004019031	၊-1	၊		False	False
40004025001	ဂါလိလဲ-1	ဂါလိလဲ	k	False	True
40004025002	ပြည်-1	ပြည်	a	False	False
40004025003	၊-1	၊		False	False
40004025004	ဒေကပေါလိ-1	ဒေကပေါလိ	k	False	True
40004025005	ပြည်-2	ပြည်	a	False	False
40004025006	၊-2	၊		False	False
40004025007	ယေရုရှလင်-1	ယေရုရှလင်	k	False	True
40004025008	မြို့-1	မြို့	a	False	False
40004025009	မှစသော-1	မှစသော		False	False
40004025010	ယုဒ-1	ယုဒ	k	False	True
40004025011	ပြည်-2	ပြည်	a	False	False
40004025012	၊-2	၊		False	False
40004025013	ယော်ဒန်-1	ယော်ဒန်	k	False	True
40004025014	မြစ်-1	မြစ်	a	False	False
40004025015	တစ်ဘက်-1	တစ်ဘက်	k	False	True
40004025016	မှ-1	မှ	k	False	True
40004025017	လာ-1	လာ		False	False
40004025018	သော-1	သော		False	False
40004025019	လူ-1	လူ	k	False	True
40004025020	များ-1	များ	k	False	True
40004025021	အပေါင်း-1	အပေါင်း	k	False	False
40004025022	တို့-1	တို့	m	False	False
40004025023	သည်-1	သည်	m	False	False
40004025024	နောက်-1	နောက်	k	False	False
40004025025	တော်-1	တော်	v	False	False
40004025026	သို့-1	သို့	k	False	False
40004025027	လိုက်-1	လိုက်	k	False	True
40004025028	ကြ-1	ကြ	m	False	False
40004025029	၏-1	၏	m	False	False
40004025030	။-1	။		False	False
40005009001	သူတစ်ပါး-1	သူတစ်ပါး		False	False
40005009002	ချင်း-1	ချင်း		False	False
40005009003	ခိုက်ရန်-1	ခိုက်ရန်	k	False	True
40005009004	ပြု-1	ပြု	k	False	False
40005009005	ခြင်း-1	ခြင်း	m	False	False
40005009006	ကို-1	ကို	m	False	False
40005009007	ငြိမ်း-1	ငြိမ်း	a	False	False
40005009008	စေ-1	စေ	m	False	False
40005009009	တတ်-1	တတ်	a	False	False
40005009010	သော-1	သော	m	False	False
40005009011	သူ-1	သူ	k	False	True
40005009012	တို့-1	တို့	m	False	False
40005009013	သည်-1	သည်	m	False	False
40005009014	မင်္ဂလာ-1	မင်္ဂလာ	k	False	True
40005009015	ရှိ-1	ရှိ	k	False	False
40005009016	ကြ-1	ကြ	m	False	False
40005009017	၏-1	၏	m	False	False
40005009018	။-1	။		False	False
40005009019	အကြောင်းမူကား-1	အကြောင်းမူကား	k	False	True
40005009020	၊-1	၊		False	False
40005009021	ထို-1	ထို	a	False	False
40005009022	သူ-2	သူ	k	False	True
40005009023	တို့-2	တို့	k	False	False
40005009024	သည်-2	သည်	m	False	False
40005009025	ဘုရားသခင်-1	ဘုရားသခင်	k	False	True
40005009026	၏-2	၏	m	False	False
40005009027	သား-1	သား	k	False	True
40005009028	တော်-1	တော်	v	False	False
40005009029	ဟု-1	ဟု		False	False
