id	altId	text	transType	isPunc	isPrimary
40001001001	အာဗြဟံ-1	အာဗြဟံ	k		y
40001001002	နှင့်-1	နှင့်	m		
40001001003	ဒါဝိဒ်-1	ဒါဝိဒ်	k		y
40001001004	တို့-1	တို့	a		
40001001005	မှ-1	မှ	m		
40001001006	ဆင်းသက်-1	ဆင်းသက်	d		y
40001001007	တော်မူ-1	တော်မူ	v		
40001001008	သော-1	သော	m		
40001001009	ယေရှု-1	ယေရှု	k		y
40001001010	ခရစ်-1	ခရစ်	k		y
40001001011	၏-1	၏	m		
40001001012	ဆွေ-1	ဆွေ	k		y
40001001013	တော်-1	တော်	v		
40001001014	စဉ်-1	စဉ်	k		
40001001015	မျိုး-1	မျိုး	k		
40001001016	တော်-2	တော်	v		
40001001017	ဆက်-1	ဆက်	k		
40001001018	စာရင်း-1	စာရင်း	k		y
40001001019	ဟူမူကား-1	ဟူမူကား	m		
40001001020	၊-1	၊			
40001002001	အာဗြဟံ-1	အာဗြဟံ	k		y
40001002002	သား-1	သား	d		y
40001002003	ဣဇာက်-1	ဣဇာက်	k		y
40001002004	။-1	။			
40001002005	ဣဇာက်-2	ဣဇာက်	k		y
40001002006	သား-2	သား	d		y
40001002007	ယာကုပ်-1	ယာကုပ်	k		y
40001002008	။-2	။			
40001002009	ယာကုပ်-2	ယာကုပ်	k		y
40001002010	သား-2	သား	d		y
40001002011	ယုဒ-1	ယုဒ	k		y
40001002012	မှစ၍-1	မှစ၍	k		y
40001002013	ညီနောင်-1	ညီနောင်	k		y
40001002014	တစ်စု-1	တစ်စု	a		
40001002015	။-2	။			
40001003001	ယုဒ-1	ယုဒ	k		y
40001003002	သည်-1	သည်	m		
40001003003	မိမိ-1	မိမိ			
40001003004	ခင်ပွန်း-1	ခင်ပွန်း			
40001003005	တာမာ-1	တာမာ	k		y
40001003006	တွင်-1	တွင်	k		y
40001003007	မြင်-1	မြင်	k		y
40001003008	သော-1	သော	m		
40001003009	သား-1	သား	a		
40001003010	ဖာရက်-1	ဖာရက်	k		y
40001003011	နှင့်-1	နှင့်	k		y
40001003012	ဇာရ-1	ဇာရ	k		y
40001003013	။-1	။			
40001003014	ဖာရက်-2	ဖာရက်	k		y
40001003015	သား-2	သား	d		y
40001003016	ဟေဇရုံ-1	ဟေဇရုံ	k		y
40001003017	။-2	။			
40001003018	ဟေဇရုံ-2	ဟေဇရုံ	k		y
40001003019	သား-2	သား	d		y
40001003020	အာရံ-1	အာရံ	k		y
40001003021	။-2	။			
40001004001	အာရံ-1	အာရံ	k		y
40001004002	သား-1	သား	d		y
40001004003	အမိနဒပ်-1	အမိနဒပ်	k		y
40001004004	။-1	။			
40001004005	အမိနဒပ်-2	အမိနဒပ်	k		y
40001004006	သား-2	သား	d		y
40001004007	နာရှုန်-1	နာရှုန်	k		y
40001004008	။-2	။			
40001004009	နာရှုန်-2	နာရှုန်	k		y
40001004010	သား-2	သား	d		y
40001004011	စာလမုန်-1	စာလမုန်	k		y
40001004012	။-2	။			
40001005001	စာလမုန်-1	စာလမုန်	k		y
40001005002	သည်-1	သည်	m		
40001005003	မိမိ-1	မိမိ			
40001005004	ခင်ပွန်း-1	ခင်ပွန်း			
40001005005	ရာခပ်-1	ရာခပ်	k		y
40001005006	တွင်-1	တွင်	k		y
40001005007	မြင်-1	မြင်	k		y
40001005008	သော-1	သော	m		
40001005009	သား-1	သား	a		
40001005010	ဗောဇ-1	ဗောဇ	k		y
40001005011	။-1	။			
40001005012	ဗောဇ-2	ဗောဇ	k		y
40001005013	သည်-2	သည်	m		
40001005014	မိမိ-2	မိမိ			
40001005015	ခင်ပွန်း-2	ခင်ပွန်း			
40001005016	ရုသ-1	ရုသ	k		y
40001005017	တွင်-2	တွင်	k		y
40001005018	မြင်-2	မြင်	k		y
40001005019	သော-2	သော	m		
40001005020	သား-2	သား	a		
40001005021	ဩဗက်-1	ဩဗက်	k		y
40001005022	။-2	။			
40001005023	ဩဗက်-2	ဩဗက်	k		y
40001005024	သား-2	သား	d		y
40001005025	ယေရှဲ-1	ယေရှဲ	k		y
40001005026	။-2	။			
40001005027	ယေရှဲ-2	ယေရှဲ	k		y
40001005028	သား-2	သား	d		y
40001005029	ဒါဝိဒ်-1	ဒါဝိဒ်	k		y
40001005030	မင်းကြီး-1	မင်းကြီး	k		y
40001005031	တည်း-1	တည်း	m		
40001005032	။-2	။			
40001006001	ဒါဝိဒ်-2	ဒါဝိဒ်	k		y
40001006002	မင်းကြီး-2	မင်းကြီး	a		
40001006003	သည်-2	သည်	m		
40001006004	ဥရိယ-1	ဥရိယ	k		y
40001006005	၏-1	၏	m		
40001006006	ခင်ပွန်း-2	ခင်ပွန်း			
40001006007	ဖြစ်-1	ဖြစ်			
40001006008	ဘူး-1	ဘူး			
40001006009	သော-2	သော			
40001006010	မိန်းမ-1	မိန်းမ	s		y
40001006011	တွင်-2	တွင်	k		y
40001006012	မြင်-2	မြင်	k		y
40001006013	သော-2	သော	m		
40001006014	သား-2	သား	a		
40001006015	ရှောလမုန်-1	ရှောလမုန်	k		y
40001006016	။-2	။			
40001007001	ရှောလမုန်-1	ရှောလမုန်	k		y
40001007002	သား-1	သား	d		y
40001007003	ရောဗောင်-1	ရောဗောင်	k		y
40001007004	။-1	။			
40001007005	ရောဗောင်-2	ရောဗောင်	k		y
40001007006	သား-2	သား	d		y
40001007007	အဘိယ-1	အဘိယ	k		y
40001007008	။-2	။			
40001007009	အဘိယ-2	အဘိယ	k		y
40001007010	သား-2	သား	d		y
40001007011	အာသ-1	အာသ	k		y
40001007012	။-2	။			
40001008001	အာသ-1	အာသ	k		y
40001008002	သား-1	သား	d		y
40001008003	ယောရှဖတ်-1	ယောရှဖတ်	k		y
40001008004	။-1	။			
40001008005	ယောရှဖတ်-2	ယောရှဖတ်	k		y
40001008006	သား-2	သား	d		y
40001008007	ယဟောရံ-1	ယဟောရံ	k		y
40001008008	။-2	။			
40001008009	ယဟောရံ-2	ယဟောရံ	k		y
40001008010	သား-2	သား	d		y
40001008011	ဩဇိ-1	ဩဇိ	k		y
40001008012	။-2	။			
40001009001	ဩဇိ-1	ဩဇိ	k		y
40001009002	သား-1	သား	d		y
40001009003	ယောသံ-1	ယောသံ	k		y
40001009004	။-1	။			
40001009005	ယောသံ-2	ယောသံ	k		y
40001009006	သား-2	သား	d		y
40001009007	အာခတ်-1	အာခတ်	k		y
40001009008	။-2	။			
40001009009	အာခတ်-2	အာခတ်	k		y
40001009010	သား-2	သား	d		y
40001009011	ဟေဇကိ-1	ဟေဇကိ	k		y
40001009012	။-2	။			
40001010001	ဟေဇကိ-1	ဟေဇကိ	k		y
40001010002	သား-1	သား	d		y
40001010003	မနာရှေ-1	မနာရှေ	k		y
40001010004	။-1	။			
40001010005	မနာရှေ-2	မနာရှေ	k		y
40001010006	သား-2	သား	d		y
40001010007	အာမုန်-1	အာမုန်	k		y
40001010008	။-2	။			
40001010009	အာမုန်-2	အာမုန်	k		y
40001010010	သား-2	သား	d		y
40001010011	ယောရှိ-1	ယောရှိ	k		y
40001010012	။-2	။			
40001011001	ယောရှိ-1	ယောရှိ	k		y
40001011002	သား-1	သား	d		y
40001011003	ယောယကိမ်-1	ယောယကိမ်			
40001011004	။-1	။			
40001011005	ယောယကိမ်-2	ယောယကိမ်			
40001011006	သည်-1	သည်			
40001011007	ဗာဗုလုန်-1	ဗာဗုလုန်	k		y
40001011008	မြို့-1	မြို့	a		
40001011009	သို့-1	သို့			
40001011010	နေရာ-1	နေရာ	a		
40001011011	ပြောင်း-1	ပြောင်း	k		y
40001011012	ခါနီး-1	ခါနီး	a		
40001011013	တွင်-1	တွင်	k		y
40001011014	မြင်-1	မြင်			
40001011015	သော-1	သော			
40001011016	သား-2	သား			
40001011017	ယေခေါနိ-1	ယေခေါနိ	k		y
40001011018	မှစ၍-1	မှစ၍	k		y
40001011019	ညီနောင်-1	ညီနောင်	k		y
40001011020	တစ်စု-1	တစ်စု	a		
40001011021	တည်း-1	တည်း	m		
40001011022	။-2	။			
40001012001	ဗာဗုလုန်-1	ဗာဗုလုန်	k		y
40001012002	မြို့-1	မြို့	a		
40001012003	သို့-1	သို့	m		
40001012004	နေရာ-1	နေရာ	a		
40001012005	ပြောင်း-1	ပြောင်း	k		y
40001012006	သည့်-1	သည့်	m		
40001012007	နောက်-1	နောက်	k		y
40001012008	၊-1	၊			
40001012009	ယေခေါနိ-1	ယေခေါနိ	k		y
40001012010	သား-1	သား	d		y
40001012011	ရှာလသေလ-1	ရှာလသေလ	k		y
40001012012	။-1	။			
40001012013	ရှာလသေလ-2	ရှာလသေလ	k		y
40001012014	သား-2	သား	d		y
40001012015	ဇေရုဗဗေလ-1	ဇေရုဗဗေလ	k		y
40001012016	။-2	။			
40001013001	ဇေရုဗဗေလ-1	ဇေရုဗဗေလ	k		y
40001013002	သား-1	သား	d		y
40001013003	အဗျုဒ်-1	အဗျုဒ်	k		y
40001013004	။-1	။			
40001013005	အဗျုဒ်-2	အဗျုဒ်	k		y
40001013006	သား-2	သား	d		y
40001013007	ဧလျာကိမ်-1	ဧလျာကိမ်	k		y
40001013008	။-2	။			
40001013009	ဧလျာကိမ်-2	ဧလျာကိမ်	k		y
40001013010	သား-2	သား	d		y
40001013011	အာဇော်-1	အာဇော်	k		y
40001013012	။-2	။			
40001014001	အာဇော်-1	အာဇော်	k		y
40001014002	သား-1	သား	d		y
40001014003	ဇာဒုတ်-1	ဇာဒုတ်	k		y
40001014004	။-1	။			
40001014005	ဇာဒုတ်-2	ဇာဒုတ်	k		y
40001014006	သား-2	သား	d		y
40001014007	အာခိမ်-1	အာခိမ်	k		y
40001014008	။-2	။			
40001014009	အာခိမ်-2	အာခိမ်	k		y
40001014010	သား-2	သား	d		y
40001014011	ဧလုဒ်-1	ဧလုဒ်	k		y
40001014012	။-2	။			
40001015001	ဧလုဒ်-1	ဧလုဒ်	k		y
40001015002	သား-1	သား	d		y
40001015003	ဧလာဇာ-1	ဧလာဇာ	k		y
40001015004	။-1	။			
40001015005	ဧလာဇာ-2	ဧလာဇာ	k		y
40001015006	သား-2	သား	d		y
40001015007	မဿန်-1	မဿန်	k		y
40001015008	။-2	။			
40001015009	မဿန်-2	မဿန်	k		y
40001015010	သား-2	သား	d		y
40001015011	ယာကုပ်-1	ယာကုပ်	k		y
40001015012	။-2	။			
40001016001	ယာကုပ်-1	ယာကုပ်	k		y
40001016002	မြင်-1	မြင်	k		y
40001016003	သော-1	သော	m		
40001016004	သား-1	သား	a		
40001016005	ကား-1	ကား	k		y
40001016006	၊-1	၊			
40001016007	မာရိ-1	မာရိ	k		y
40001016008	၏-1	၏	m		
40001016009	ခင်ပွန်း-1	ခင်ပွန်း	k		y
40001016010	ယောသပ်-1	ယောသပ်	k		y
40001016011	တည်း-1	တည်း	m		
40001016012	။-1	။			
40001016013	ထို-1	ထို			
40001016014	မာရိ-2	မာရိ			
40001016015	သည်-1	သည်			
40001016016	ခရစ်-1	ခရစ်	k		y
40001016017	ဟု-1	ဟု			
40001016018	ခေါ်ဝေါ်-1	ခေါ်ဝေါ်	k		y
40001016019	သမုတ်-1	သမုတ်	k		
40001016020	သော-2	သော	m		
40001016021	ယေရှု-1	ယေရှု	k		y
40001016022	၏-2	၏	m		
40001016023	မယ်တော်-1	မယ်တော်	s		y
40001016024	ဖြစ်-1	ဖြစ်			
40001016025	၏-2	၏			
40001016026	။-2	။			
40001017001	ဤသို့-1	ဤသို့	k		y
40001017002	လျှင်-1	လျှင်	m		
40001017003	၊-1	၊			
40001017004	မျိုးစဉ်-1	မျိုးစဉ်	k		y
40001017005	နွယ်ဆက်-1	နွယ်ဆက်	k		
40001017006	ပေါင်း-1	ပေါင်း	k		y
40001017007	ကား-1	ကား	m		
40001017008	၊-2	၊			
40001017009	အာဗြဟံ-1	အာဗြဟံ	k		y
40001017010	မှ-1	မှ	k		y
40001017011	သည်-1	သည်	m		
40001017012	ဒါဝိဒ်-1	ဒါဝိဒ်	k		y
40001017013	တိုင်အောင်-1	တိုင်အောင်	k		y
40001017014	တစ်ဆယ်လေး-1	တစ်ဆယ်လေး	k		y
40001017015	ဆက်-1	ဆက်	k		y
40001017016	၊-2	၊			
40001017017	ဒါဝိဒ်-2	ဒါဝိဒ်	k		y
40001017018	မှ-2	မှ	k		y
40001017019	သည်-2	သည်	m		
40001017020	ဗာဗုလုန်-1	ဗာဗုလုန်	k		y
40001017021	မြို့-1	မြို့	a		
40001017022	သို့-1	သို့	m		
40001017023	နေရာ-1	နေရာ	a		
40001017024	ပြောင်း-1	ပြောင်း	k		y
40001017025	သည်-2	သည်	m		
40001017026	တိုင်အောင်-2	တိုင်အောင်	k		y
40001017027	တစ်ဆယ်လေး-2	တစ်ဆယ်လေး	k		y
40001017028	ဆက်-2	ဆက်	k		y
40001017029	၊-2	၊			
40001017030	ဗာဗုလုန်-2	ဗာဗုလုန်	k		y
40001017031	မြို့-2	မြို့	a		
40001017032	သို့-2	သို့	m		
40001017033	ပြောင်း-2	ပြောင်း	k		y
40001017034	ပြီးမှ-1	ပြီးမှ			
40001017035	သည်-2	သည်			
40001017036	ခရစ်တော်-1	ခရစ်တော်	k		y
40001017037	တိုင်အောင်-2	တိုင်အောင်	k		y
40001017038	တစ်ဆယ်လေး-2	တစ်ဆယ်လေး	k		y
40001017039	ဆက်-2	ဆက်	k		y
40001017040	ဖြစ်-1	ဖြစ်			
40001017041	သတည်း-1	သတည်း			
40001017042	။-1	။			
40001018001	ယေရှု-1	ယေရှု	k		y
40001018002	ခရစ်-1	ခရစ်	k		y
40001018003	သည်-1	သည်	m		
40001018004	ဘွားမြင်-1	ဘွားမြင်	k		y
40001018005	ခြင်း-1	ခြင်း	k		
40001018006	ကို-1	ကို	m		
40001018007	ခံ-1	ခံ	k		y
40001018008	တော်မူ-1	တော်မူ	v		
40001018009	သော-1	သော	m		
40001018010	အကြောင်း-1	အကြောင်း			
40001018011	အရာ-1	အရာ			
40001018012	ဟူမူကား-1	ဟူမူကား			
40001018013	၊-1	၊			
40001018014	မယ်တော်-1	မယ်တော်	k		y
40001018015	မာရိ-1	မာရိ	k		y
40001018016	သည်-2	သည်	m		
40001018017	ယောသပ်-1	ယောသပ်	k		y
40001018018	နှင့်-1	နှင့်	m		
40001018019	ထိမ်းမြား-1	ထိမ်းမြား	k		y
40001018020	ဆောင်နှင်း-1	ဆောင်နှင်း	k		
40001018021	၍-1	၍	m		
40001018022	မ-1	မ	k		y
40001018023	ရှက်တင်-1	ရှက်တင်	k		y
40001018024	မှီ-1	မှီ	k		
40001018025	တွင်-1	တွင်	m		
40001018026	သန့်ရှင်း-1	သန့်ရှင်း	k		y
40001018027	သော-2	သော	m		
40001018028	ဝိညာဉ်-1	ဝိညာဉ်	k		y
40001018029	တော်-1	တော်	v		
40001018030	ကြောင့်-1	ကြောင့်	k		y
40001018031	ပဋိသန္ဓေ-1	ပဋိသန္ဓေ	k		y
40001018032	စွဲ-1	စွဲ	k		
40001018033	နေ-1	နေ	m		
40001018034	၏-1	၏	m		
40001018035	။-1	။			
40001019001	သူ-1	သူ	k		y
40001019002	၏-1	၏	m		
40001019003	ခင်ပွန်း-1	ခင်ပွန်း	k		y
40001019004	ယောသပ်-1	ယောသပ်	k		y
40001019005	သည်-1	သည်	m		
40001019006	သူတော်ကောင်း-1	သူတော်ကောင်း	k		y
40001019007	ဖြစ်-1	ဖြစ်	k		y
40001019008	၍-1	၍	k		y
40001019009	၊-1	၊			
40001019010	မာရိ-1	မာရိ	s		y
40001019011	အသရေ-1	အသရေ	k		y
40001019012	ကို-1	ကို	m		
40001019013	မ-1	မ	k		y
40001019014	ပျက်-1	ပျက်	k		
40001019015	စေ-1	စေ	m		
40001019016	ချင်-1	ချင်	k		y
40001019017	သောကြောင့်-1	သောကြောင့်			
40001019018	တိတ်ဆိတ်-1	တိတ်ဆိတ်	k		y
40001019019	စွာ-1	စွာ	m		
40001019020	စွန့်ပယ်-1	စွန့်ပယ်	k		y
40001019021	မည်-1	မည်	m		
40001019022	ဟု-1	ဟု			
40001019023	အကြံရှိ-1	အကြံရှိ	k		y
40001019024	၏-2	၏	m		
40001019025	။-1	။			
40001020001	ထိုသို့-1	ထိုသို့	k		y
40001020002	ကြံစည်-1	ကြံစည်	k		y
40001020003	၍-1	၍	m		
40001020004	နေ-1	နေ			
40001020005	စဉ်-1	စဉ်			
40001020006	တွင်-1	တွင်			
40001020007	အိပ်မက်-1	အိပ်မက်	k		y
40001020008	ကို-1	ကို	m		
40001020009	မြင်-1	မြင်	a		
40001020010	ရ-1	ရ	m		
40001020011	သည်-1	သည်	m		
40001020012	မှာ-1	မှာ	m		
40001020013	၊-1	၊			
40001020014	ထာဝရ-1	ထာဝရ	k		y
40001020015	ဘုရား-1	ဘုရား	k		
40001020016	၏-1	၏	m		
40001020017	ကောင်းကင်-1	ကောင်းကင်	k		
40001020018	တမန်-1	တမန်	k		y
40001020019	သည်-2	သည်	m		
40001020020	ထင်ရှား-1	ထင်ရှား	k		y
40001020021	၍-2	၍	m		
40001020022	၊-2	၊			
40001020023	ဒါဝိဒ်-1	ဒါဝိဒ်	k		y
40001020024	အမျိုး-1	အမျိုး	k		y
40001020025	ယောသပ်-1	ယောသပ်	k		y
40001020026	၊-2	၊			
40001020027	သင်-1	သင်	k		y
40001020028	၏-2	၏	m		
40001020029	ခင်ပွန်း-1	ခင်ပွန်း	k		y
40001020030	မာရိ-1	မာရိ	k		y
40001020031	ကို-2	ကို	m		
40001020032	ထိန်းသိမ်း-1	ထိန်းသိမ်း	k		y
40001020033	ရ-2	ရ	m		
40001020034	မည်-1	မည်	m		
40001020035	အခွင့်-1	အခွင့်			
40001020036	ကို-2	ကို			
40001020037	မ-1	မ	k		y
40001020038	စိုးရိမ်-1	စိုးရိမ်	k		y
40001020039	နှင့်-1	နှင့်	m		
40001020040	။-1	။			
40001020041	ဤ-1	ဤ			
40001020042	ပဋိသန္ဓေ-1	ပဋိသန္ဓေ	k		y
40001020043	သည်-2	သည်	m		
40001020044	သန့်ရှင်း-1	သန့်ရှင်း	k		y
40001020045	သော-1	သော	m		
40001020046	ဝိညာဉ်-1	ဝိညာဉ်	k		y
40001020047	တော်-1	တော်	v		
40001020048	ကြောင့်-1	ကြောင့်	k		y
40001020049	ဖြစ်-1	ဖြစ်	k		y
40001020050	၏-2	၏	m		
40001020051	။-2	။			
40001021001	သား-1	သား	k		y
40001021002	ယောက်ျား-1	ယောက်ျား	a		
40001021003	ကို-2	ကို	m		
40001021004	ဘွားမြင်-1	ဘွားမြင်	k		y
40001021005	လိမ့်မည်-1	လိမ့်မည်	m		
40001021006	။-2	။			
40001021007	ထို-1	ထို	a		
40001021008	သား-2	သား	s		y
40001021009	သည်-2	သည်	m		
40001021010	မိမိ-1	မိမိ	k		y
40001021011	လူ-1	လူ	k		y
40001021012	တို့-1	တို့	a		
40001021013	ကို-2	ကို	m		
40001021014	အပြစ်-1	အပြစ်	k		y
40001021015	မှ-1	မှ	k		y
40001021016	ကယ်ချွတ်-1	ကယ်ချွတ်	k		y
40001021017	မည်-2	မည်	m		
40001021018	သူ-1	သူ	k		y
40001021019	ဖြစ်-2	ဖြစ်	a		
