id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end
40001001001	40001001	যীশু				
40001001002	40001001	খ্রীষ্টের				
40001001003	40001001	বংশ				
40001001004	40001001	তালিকা	y			
40001001005	40001001	,		y		
40001001006	40001001	তিনি				
40001001007	40001001	দায়ূদের				
40001001008	40001001	সন্তান	y			
40001001009	40001001	,		y		
40001001010	40001001	অব্রাহামের				
40001001011	40001001	সন্তান	y			
40001001012	40001001	।		y		
40001002001	40001002	অব্রাহামের				
40001002002	40001002	ছেলে				
40001002003	40001002	ইসহাক	y			
40001002004	40001002	;		y		
40001002005	40001002	ইসহাকের				
40001002006	40001002	ছেলে				
40001002007	40001002	যাকোব	y			
40001002008	40001002	;		y		
40001002009	40001002	যাকোবের				
40001002010	40001002	ছেলে				
40001002011	40001002	যিহূদা				
40001002012	40001002	ও				
40001002013	40001002	তাঁর				
40001002014	40001002	ভাইয়েরা	y			
40001002015	40001002	;		y		
40001003001	40001003	যিহূদার				
40001003002	40001003	ছেলে				
40001003003	40001003	পেরস				
40001003004	40001003	ও				
40001003005	40001003	সেরহ	y			
40001003006	40001003	,		y		
40001003007	40001003	তামরের				
40001003008	40001003	গর্ভের				
40001003009	40001003	সন্তান	y			
40001003010	40001003	;		y		
40001003011	40001003	পেরসের				
40001003012	40001003	ছেলে				
40001003013	40001003	হিস্রণ	y			
40001003014	40001003	;		y		
40001003015	40001003	হিস্রোনের				
40001003016	40001003	ছেলে				
40001003017	40001003	রাম	y			
40001003018	40001003	;		y		
40001004001	40001004	রামের				
40001004002	40001004	ছেলে				
40001004003	40001004	অম্মীনাদব	y			
40001004004	40001004	;		y		
40001004005	40001004	অম্মীনাদবের				
40001004006	40001004	ছেলে	y			
40001004007	40001004	,		y		
40001004008	40001004	নহশোন	y			
40001004009	40001004	,		y		
40001004010	40001004	নহশোনের				
40001004011	40001004	ছেলে				
40001004012	40001004	সলমোন	y			
40001004013	40001004	;		y		
40001005001	40001005	সলমোনের				
40001005002	40001005	ছেলে				
40001005003	40001005	বোয়স	y			
40001005004	40001005	;		y		
40001005005	40001005	রাহবের				
40001005006	40001005	গর্ভের				
40001005007	40001005	সন্তান	y			
40001005008	40001005	;		y		
40001005009	40001005	বোয়সের				
40001005010	40001005	ছেলে				
40001005011	40001005	ওবেদ	y			
40001005012	40001005	,		y		
40001005013	40001005	রুতের				
40001005014	40001005	গর্ভের				
40001005015	40001005	ছেলে	y			
40001005016	40001005	;		y		
40001005017	40001005	ওবেদের				
40001005018	40001005	ছেলে				
40001005019	40001005	যিশয়	y			
40001005020	40001005	;		y		
40001006001	40001006	যিশয়ের				
40001006002	40001006	ছেলে				
40001006003	40001006	দায়ূদ				
40001006004	40001006	রাজা	y			
40001006005	40001006	।		y		
40001006006	40001006	দায়ূদের				
40001006007	40001006	ছেলে				
40001006008	40001006	শলোমন	y			
40001006009	40001006	;		y		
40001006010	40001006	ঊরিয়ের				
40001006011	40001006	বিধবার				
40001006012	40001006	গর্ভের				
40001006013	40001006	সন্তান	y			
40001006014	40001006	;		y		
40001007001	40001007	শলোমনের				
40001007002	40001007	ছেলে				
40001007003	40001007	রহবিয়াম	y			
40001007004	40001007	;		y		
40001007005	40001007	রহবিয়ামের				
40001007006	40001007	ছেলে				
40001007007	40001007	অবিয়	y			
40001007008	40001007	;		y		
40001007009	40001007	অবিয়ের				
40001007010	40001007	ছেলে				
40001007011	40001007	আসা	y			
40001007012	40001007	;		y		
40001008001	40001008	আসার				
40001008002	40001008	ছেলে				
40001008003	40001008	যিহোশাফট	y			
40001008004	40001008	;		y		
40001008005	40001008	যিহোশাফটের				
40001008006	40001008	ছেলে				
40001008007	40001008	যোরাম	y			
40001008008	40001008	;		y		
40001008009	40001008	যোরামের				
40001008010	40001008	ছেলে				
40001008011	40001008	উষিয়	y			
40001008012	40001008	;		y		
40001009001	40001009	উষিয়ের				
