id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end	required
40001001001	40001001	അബ്രാഹാമിന്റെ					y
40001001002	40001001	പുത്രനായ					y
40001001003	40001001	ദാവീദിന്റെ					y
40001001004	40001001	പുത്രൻ					y
40001001005	40001001	യേശുക്രിസ്തുവിന്റെ					y
40001001006	40001001	വംശാവലി	y				y
40001001007	40001001	:		y			n
40001002001	40001002	അബ്രാഹാമിൽനിന്ന്					y
40001002002	40001002	യിസ്ഹാക്ക്					y
40001002003	40001002	ജനിച്ചു					y
40001002004	40001002	യിസ്ഹാക്കിൽനിന്ന്					y
40001002005	40001002	യാക്കോബ്					y
40001002006	40001002	ജനിച്ചു					y
40001002007	40001002	യാക്കോബിൽനിന്ന്					y
40001002008	40001002	യെഹൂദയും					y
40001002009	40001002	അദ്ദേഹത്തിന്റെ					y
40001002010	40001002	സഹോദരന്മാരും					y
40001002011	40001002	ജനിച്ചു	y				y
40001002012	40001002	.		y			n
40001003001	40001003	യെഹൂദയായിരുന്നു					y
40001003002	40001003	താമാർ					y
40001003003	40001003	പ്രസവിച്ച					y
40001003004	40001003	പാരെസിന്റെയും					y
40001003005	40001003	സേരയുടെയും					y
40001003006	40001003	പിതാവ്	y				y
40001003007	40001003	.		y			n
40001003008	40001003	പാരെസിൽനിന്ന്					y
40001003009	40001003	ഹെസ്രോം					y
40001003010	40001003	ജനിച്ചു					y
40001003011	40001003	ഹെസ്രോമിൽനിന്ന്					y
40001003012	40001003	ആരാം					y
40001003013	40001003	ജനിച്ചു	y				y
40001003014	40001003	.		y			n
40001004001	40001004	ആരാമിൽനിന്ന്					y
40001004002	40001004	അമ്മീനാദാബും					y
40001004003	40001004	അമ്മീനാദാബിൽനിന്ന്					y
40001004004	40001004	നഹശോനും					y
40001004005	40001004	ജനിച്ചു	y				y
40001004006	40001004	.		y			n
40001004007	40001004	നഹശോനിൽനിന്ന്					y
40001004008	40001004	സൽമോൻ					y
40001004009	40001004	ജനിച്ചു	y				y
40001004010	40001004	.		y			n
40001005001	40001005	സൽമോനായിരുന്നു					y
40001005002	40001005	രാഹാബ്					y
40001005003	40001005	പ്രസവിച്ച					y
40001005004	40001005	ബോവസിന്റെ					y
40001005005	40001005	പിതാവ്	y				y
40001005006	40001005	.		y			n
40001005007	40001005	ബോവസ്-രൂത്ത്					y
40001005008	40001005	ദമ്പതികളുടെ					y
40001005009	40001005	പുത്രനാണ്					y
40001005010	40001005	ഓബേദ്	y				y
40001005011	40001005	;		y			n
40001005012	40001005	ഓബേദിൽനിന്ന്					y
40001005013	40001005	യിശ്ശായി					y
40001005014	40001005	ജനിച്ചു	y				y
40001005015	40001005	.		y			n
40001006001	40001006	യിശ്ശായിയാണ്					y
40001006002	40001006	ദാവീദുരാജാവിന്റെ					y
40001006003	40001006	പിതാവ്	y				y
40001006004	40001006	.		y			n
40001006005	40001006	ദാവീദ്					y
40001006006	40001006	ശലോമോന്റെ					y
40001006007	40001006	പിതാവ്	y				y
40001006008	40001006	,		y			n
40001006009	40001006	ശലോമോന്റെ					y
40001006010	40001006	അമ്മ					y
40001006011	40001006	ഊരിയാവിന്റെ					y
40001006012	40001006	വിധവ					y
40001006013	40001006	(	y	y			n
40001006014	40001006	ബേത്ത്-ശേബ	y				y
40001006015	40001006	)		y			n
40001006016	40001006	ആയിരുന്നു	y				y
40001006017	40001006	.		y			n
40001007001	40001007	ശലോമോനിൽനിന്ന്					y
40001007002	40001007	രെഹബ്യാം					y
40001007003	40001007	ജനിച്ചു	y				y
40001007004	40001007	.		y			n
40001007005	40001007	രെഹബ്യാമിൽനിന്ന്					y
40001007006	40001007	അബീയാവും					y
40001007007	40001007	അബീയാവിൽനിന്ന്					y
40001007008	40001007	ആസായും					y
40001007009	40001007	ജനിച്ചു	y				y
40001007010	40001007	.		y			n
40001008001	40001008	ആസായിൽനിന്ന്					y
40001008002	40001008	യോശാഫാത്ത്					y
40001008003	40001008	ജനിച്ചു					y
40001008004	40001008	യോശാഫാത്തിൽനിന്ന്					y
40001008005	40001008	യോരാം					y
