id	altId	text	transType	isPunc	isPrimary
40001001001	亚伯拉罕-1	亚伯拉罕	k	False	True
40001001002	的-1	的	m	False	False
40001001003	后裔-1	后裔	k	False	True
40001001004	、-1	、		True	False
40001001005	大卫-1	大卫	k	False	True
40001001006	的-2	的	m	False	False
40001001007	子孙-1	子孙	k	False	True
40001001008	耶稣-1	耶稣	k	False	True
40001001009	基督-1	基督	k	False	True
40001001010	的-2	的	m	False	False
40001001011	家谱-1	家谱	k	False	True
40001001012	：-1	：		True	False
40001002001	亚伯拉罕-1	亚伯拉罕	k	False	True
40001002002	生-1	生	k	False	True
40001002003	以撒-1	以撒	k	False	True
40001002004	，-1	，		True	False
40001002005	以撒-2	以撒	k	False	True
40001002006	生-2	生	k	False	True
40001002007	雅各-1	雅各	k	False	True
40001002008	，-2	，		True	False
40001002009	雅各-2	雅各	k	False	True
40001002010	生-2	生	k	False	True
40001002011	犹大-1	犹大	k	False	True
40001002012	和-1	和	k	False	True
40001002013	他-1	他	k	False	True
40001002014	的-1	的	m	False	False
40001002015	弟兄-1	弟兄	k	False	True
40001002016	，-2	，		True	False
40001003001	犹大-1	犹大	k	False	True
40001003002	从-1	从	k	False	True
40001003003	她玛-1	她玛	k	False	True
40001003004	氏-1	氏	a	False	False
40001003005	生-1	生	k	False	True
40001003006	法勒斯-1	法勒斯	k	False	True
40001003007	和-1	和	k	False	True
40001003008	谢拉-1	谢拉	k	False	True
40001003009	，-1	，		True	False
40001003010	法勒斯-2	法勒斯	k	False	True
40001003011	生-2	生	k	False	True
40001003012	希斯仑-1	希斯仑	k	False	True
40001003013	，-2	，		True	False
40001003014	希斯仑-2	希斯仑	k	False	True
40001003015	生-2	生	k	False	True
40001003016	亚兰-1	亚兰	k	False	True
40001003017	，-2	，		True	False
40001004001	亚兰-1	亚兰	k	False	True
40001004002	生-1	生	k	False	True
40001004003	亚米拿达-1	亚米拿达	k	False	True
40001004004	，-1	，		True	False
40001004005	亚米拿达-2	亚米拿达	k	False	True
40001004006	生-2	生	k	False	True
40001004007	拿顺-1	拿顺	k	False	True
40001004008	，-2	，		True	False
40001004009	拿顺-2	拿顺	k	False	True
40001004010	生-2	生	k	False	True
40001004011	撒门-1	撒门	k	False	True
40001004012	，-2	，		True	False
40001005001	撒门-1	撒门	k	False	True
40001005002	从-1	从	k	False	True
40001005003	喇合-1	喇合	k	False	True
40001005004	氏-1	氏	a	False	False
40001005005	生-1	生	k	False	True
40001005006	波阿斯-1	波阿斯	k	False	True
