id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end
40001001001	40001001	Habari				
40001001002	40001001	za				
40001001003	40001001	ukoo				
40001001004	40001001	wa				
40001001005	40001001	Yesu				
40001001006	40001001	Kristo				
40001001007	40001001	mwana				
40001001008	40001001	wa				
40001001009	40001001	Daudi	y			
40001001010	40001001	,		y		
40001001011	40001001	mwana				
40001001012	40001001	wa				
40001001013	40001001	Abrahamu	y			
40001001014	40001001	:		y		
40001002001	40001002	Abrahamu				
40001002002	40001002	akamzaa				
40001002003	40001002	Isaki	y			
40001002004	40001002	,		y		
40001002005	40001002	Isaki				
40001002006	40001002	akamzaa				
40001002007	40001002	Yakobo	y			
40001002008	40001002	,		y		
40001002009	40001002	Yakobo				
40001002010	40001002	akawazaa				
40001002011	40001002	Yuda				
40001002012	40001002	na				
40001002013	40001002	ndugu				
40001002014	40001002	zake	y			
40001002015	40001002	,		y		
40001003001	40001003	Yuda				
40001003002	40001003	akawazaa				
40001003003	40001003	Peresi				
40001003004	40001003	na				
40001003005	40001003	Zera	y			
40001003006	40001003	,		y		
40001003007	40001003	ambao				
40001003008	40001003	mama				
40001003009	40001003	yao				
40001003010	40001003	alikuwa				
40001003011	40001003	Tamari	y			
40001003012	40001003	,		y		
40001003013	40001003	Peresi				
40001003014	40001003	akamzaa				
40001003015	40001003	Hesroni	y			
40001003016	40001003	,		y		
40001003017	40001003	Hesroni				
40001003018	40001003	akamzaa				
40001003019	40001003	Aramu	y			
40001003020	40001003	,		y		
40001004001	40001004	Aramu				
40001004002	40001004	akamzaa				
40001004003	40001004	Aminadabu	y			
40001004004	40001004	,		y		
40001004005	40001004	Aminadabu				
40001004006	40001004	akamzaa				
40001004007	40001004	Nashoni	y			
40001004008	40001004	,		y		
40001004009	40001004	Nashoni				
40001004010	40001004	akamzaa				
40001004011	40001004	Salmoni	y			
40001004012	40001004	,		y		
40001005001	40001005	Salmoni				
40001005002	40001005	akamzaa				
40001005003	40001005	Boazi	y			
40001005004	40001005	,		y		
40001005005	40001005	na				
40001005006	40001005	mama				
40001005007	40001005	yake				
40001005008	40001005	Boazi				
40001005009	40001005	alikuwa				
40001005010	40001005	Rahabu	y			
40001005011	40001005	,		y		
40001005012	40001005	Boazi				
40001005013	40001005	akamzaa				
40001005014	40001005	Obedi	y			
40001005015	40001005	,		y		
40001005016	40001005	ambaye				
40001005017	40001005	mama				
40001005018	40001005	yake				
40001005019	40001005	alikuwa				
40001005020	40001005	Ruthu	y			
40001005021	40001005	,		y		
40001005022	40001005	Obedi				
40001005023	40001005	akamzaa				
40001005024	40001005	Yese	y			
40001005025	40001005	,		y		
40001006001	40001006	Yese				
40001006002	40001006	akamzaa				
40001006003	40001006	Daudi				
40001006004	40001006	ambaye				
40001006005	40001006	alikuwa				
40001006006	40001006	mfalme	y			
40001006007	40001006	.		y		
40001006008	40001006	Daudi				
40001006009	40001006	akamzaa				
40001006010	40001006	Solomoni	y			
40001006011	40001006	,		y		
40001006012	40001006	ambaye				
40001006013	40001006	mama				
40001006014	40001006	yake				
40001006015	40001006	ni				
40001006016	40001006	yule				
40001006017	40001006	aliyekuwa				
40001006018	40001006	mke				
40001006019	40001006	wa				
40001006020	40001006	Uria	y			
40001006021	40001006	.		y		
40001007001	40001007	Solomoni				
40001007002	40001007	akamzaa				
40001007003	40001007	Rehoboamu	y			
40001007004	40001007	,		y		
40001007005	40001007	Rehoboamu				
40001007006	40001007	akamzaa				
