id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end
40001001001	40001001	যীচু				
40001001002	40001001	খ্রীষ্ট				
40001001003	40001001	দায়ুদৰ				
40001001004	40001001	বংশৰ				
40001001005	40001001	আৰু				
40001001006	40001001	দায়ুদ				
40001001007	40001001	অব্ৰাহামৰ				
40001001008	40001001	বংশৰ				
40001001009	40001001	লোক	y			
40001001010	40001001	।		y		
40001001011	40001001	যীচু				
40001001012	40001001	খ্ৰীষ্টৰ				
40001001013	40001001	বংশৰ				
40001001014	40001001	তালিকা				
40001001015	40001001	এই	y			
40001001016	40001001	:-		y		
40001002001	40001002	অব্ৰাহামৰ				
40001002002	40001002	পুত্ৰ				
40001002003	40001002	ইচহাক	y			
40001002004	40001002	;		y		
40001002005	40001002	ইচহাকৰ				
40001002006	40001002	পুত্ৰ				
40001002007	40001002	যাকোব	y			
40001002008	40001002	;		y		
40001002009	40001002	যাকোবৰ				
40001002010	40001002	পুত্ৰ				
40001002011	40001002	যিহূদা				
40001002012	40001002	আৰু				
40001002013	40001002	তেওঁৰ				
40001002014	40001002	ভায়েক-ককায়েক				
40001002015	40001002	সকল	y			
40001002016	40001002	;		y		
40001003001	40001003	যিহূদাৰ				
40001003002	40001003	পুত্ৰ				
40001003003	40001003	পেৰচ				
40001003004	40001003	আৰু				
40001003005	40001003	চেৰহৰ	y			
40001003006	40001003	,		y		
40001003007	40001003	তেওঁলোকৰ				
40001003008	40001003	মাক				
40001003009	40001003	আছিল				
40001003010	40001003	তামাৰ৷				
40001003011	40001003	পেৰচৰ				
40001003012	40001003	পুত্ৰ				
40001003013	40001003	হিষ্ৰোণ	y			
40001003014	40001003	;		y		
40001003015	40001003	হিষ্ৰোণৰ				
40001003016	40001003	পুত্ৰ				
40001003017	40001003	ৰাম৷				
40001004001	40001004	ৰামৰ				
40001004002	40001004	পুত্ৰ				
40001004003	40001004	অম্মীনাদব	y			
40001004004	40001004	;		y		
40001004005	40001004	অম্মীনাদবৰ				
40001004006	40001004	পুত্ৰ				
40001004007	40001004	নহচোন	y			
40001004008	40001004	;		y		
40001004009	40001004	নহচোনৰ				
40001004010	40001004	পুত্ৰ				
40001004011	40001004	চলমোন৷				
40001005001	40001005	চলমোনৰ				
40001005002	40001005	পুত্ৰ				
40001005003	40001005	বোৱজ				
40001005004	40001005	-		y		
40001005005	40001005	তেওঁৰ				
40001005006	40001005	মাক				
40001005007	40001005	আছিল				
40001005008	40001005	ৰাহব৷				
40001005009	40001005	বোৱজৰ				
40001005010	40001005	পুত্ৰ				
40001005011	40001005	ওবেদ				
40001005012	40001005	তেওঁৰ				
40001005013	40001005	মাক				
40001005014	40001005	আছিল				
40001005015	40001005	ৰূথ৷				
40001005016	40001005	ওবেদৰ				
40001005017	40001005	পুত্ৰ				
40001005018	40001005	যিচয়	y			
40001005019	40001005	;		y		
40001006001	40001006	যিচয়ৰ				
40001006002	40001006	পুত্ৰ				
40001006003	40001006	দায়ুদ				
40001006004	40001006	ৰজা	y			
40001006005	40001006	।		y		
40001006006	40001006	দায়ুদৰ				
40001006007	40001006	পুত্র				
40001006008	40001006	চলোমন	y			
40001006009	40001006	,		y		
40001006010	40001006	তেওঁৰ				
40001006011	40001006	মাক				
40001006012	40001006	আছিল				
40001006013	40001006	উৰিয়াৰ				
